"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020"

"Number of Occupants";"Geographic Location";"Total";"Less than 5 sq.m/ Less than 54 sq.ft.";"5 - 9 sq.m./ 54 - 107 sq.ft.";"10 - 19 sq.m./ 108 - 209 sq.ft.";"20 - 29 sq.m./ 210 - 317 sq.ft.";"30 - 49 sq.m./ 318 - 532 sq.ft.";"50 - 69 sq.m./ 533 - 748 sq.ft.";"70 - 89 sq.m./ 749 - 963 sq.ft.";"90 - 119 sq.m./ 964 - 1,286 sq.ft.";"120 - 149 sq.m./ 1,287 - 1,609 sq.ft.";"150 - 199 sq.m./ 1,610 - 2,147 sq.ft.";"200 sq.m. and over/ 2,148 sq.ft. and over";"Not Reported";"Not applicable"
"Nine Occupants";"....Camarines Norte";2942;3;74;414;605;703;428;292;192;117;72;42;0;0
"Nine Occupants";"....Camarines Sur";12104;267;877;1829;2691;2787;1445;860;567;351;211;213;6;0
"Nine Occupants";"....Catanduanes";1573;2;25;119;279;429;227;175;147;96;42;32;0;0
"Nine Occupants";"....Masbate";4616;134;516;1231;1098;693;356;210;143;98;69;67;1;0
"Nine Occupants";"....Sorsogon";4196;56;210;529;1002;1047;517;334;230;145;53;73;0;0
"Nine Occupants";"..REGION VI (WESTERN VISAYAS)";29349;398;1659;4962;5370;4957;3942;2645;2137;1423;838;985;31;2
"Nine Occupants";"....Aklan";2408;6;33;192;431;583;451;251;199;114;70;77;1;0
"Nine Occupants";"....Antique";2624;30;184;536;592;465;267;171;159;84;68;67;1;0
"Nine Occupants";"....Capiz";2500;31;143;450;572;383;315;201;155;111;65;73;1;0
"Nine Occupants";"....Guimaras";634;6;44;136;146;116;71;46;30;27;3;9;0;0
"Nine Occupants";"....Iloilo *";7816;104;363;1146;1384;1387;1001;725;669;471;255;290;20;1
"Nine Occupants";"....Negros Occidental *";8965;189;817;2227;1810;1313;851;624;456;309;179;187;3;0
"Nine Occupants";"....City of Bacolod";2335;29;42;149;252;355;545;357;226;164;96;119;1;0
"Nine Occupants";"....City of Iloilo";2067;3;33;126;183;355;441;270;243;143;102;163;4;1
"Nine Occupants";"..REGION VII (CENTRAL VISAYAS)";31166;815;2903;6890;5759;4994;3542;2045;1691;1023;713;785;6;0
"Nine Occupants";"....Bohol";6899;165;514;1336;1298;1161;742;513;433;297;192;246;2;0
"Nine Occupants";"....Cebu *";12918;418;1457;3077;2285;1928;1394;750;668;412;279;249;1;0
"Nine Occupants";"....Negros Oriental";5249;137;616;1538;1045;664;422;261;207;134;116;108;1;0
"Nine Occupants";"....Siquijor";393;0;9;16;35;96;90;78;40;11;7;11;0;0
"Nine Occupants";"....City of Cebu";3371;62;163;573;625;677;525;239;211;94;83;117;2;0
"Nine Occupants";"....City of Lapu-Lapu (Opon)";1470;25;93;219;269;277;264;143;84;42;26;28;0;0
"Nine Occupants";"....City of Mandaue";866;8;51;131;202;191;105;61;48;33;10;26;0;0
"Nine Occupants";"..REGION VIII (EASTERN VISAYAS)";21094;296;1109;3040;3914;4519;3040;1970;1335;829;508;528;6;0
"Nine Occupants";"....Biliran";774;2;25;43;97;194;174;99;76;34;19;11;0;0
"Nine Occupants";"....Eastern Samar";2177;3;29;149;342;553;464;262;166;99;48;60;2;0
"Nine Occupants";"....Leyte *";6909;83;405;1227;1349;1253;892;595;405;275;193;232;0;0
"Nine Occupants";"....Northern Samar";3848;174;465;710;764;825;384;189;142;94;49;51;1;0
"Nine Occupants";"....Samar (Western Samar)";4149;3;30;476;877;991;669;508;305;160;79;48;3;0
"Nine Occupants";"....Southern Leyte";1987;20;121;319;345;394;267;177;139;92;49;64;0;0
"Nine Occupants";"....City of Tacloban";1250;11;34;116;140;309;190;140;102;75;71;62;0;0
"Nine Occupants";"..REGION IX (ZAMBOANGA PENINSULA)";16884;208;878;2607;3098;3071;2577;1586;1234;769;413;424;19;0
"Nine Occupants";"....Zamboanga del Norte";4390;136;545;1238;897;620;348;192;165;108;61;79;1;0
"Nine Occupants";"....Zamboanga del Sur *";5205;15;76;398;981;1266;1126;569;367;222;131;53;1;0
"Nine Occupants";"....Zamboanga Sibugay";2941;17;125;673;822;608;322;159;73;67;23;42;10;0
"Nine Occupants";"....City of Isabela **";695;1;4;50;126;110;124;111;82;42;27;18;0;0
"Nine Occupants";"....City of Zamboanga";3653;39;128;248;272;467;657;555;547;330;171;232;7;0
"Nine Occupants";"..REGION X (NORTHERN MINDANAO)";18044;276;1168;3237;3259;2981;2446;1630;1271;795;486;491;4;0
"Nine Occupants";"....Bukidnon";5835;158;663;1484;1064;694;522;369;325;226;150;177;3;0
"Nine Occupants";"....Camiguin";374;4;10;42;40;59;62;54;42;26;10;25;0;0
"Nine Occupants";"....Lanao del Norte *";3059;10;76;323;607;565;534;378;260;179;78;49;0;0
"Nine Occupants";"....Misamis Occidental";2337;67;197;536;462;349;238;148;126;80;66;68;0;0
"Nine Occupants";"....Misamis Oriental *";3390;22;137;588;687;758;497;287;199;109;59;46;1;0
"Nine Occupants";"....City of Cagayan de Oro";1801;10;56;160;237;332;361;239;177;100;61;68;0;0
"Nine Occupants";"....City of Iligan";1248;5;29;104;162;224;232;155;142;75;62;58;0;0
"Nine Occupants";"..REGION XI (DAVAO REGION)";14589;293;1138;2921;2766;2418;1744;1114;963;552;355;319;6;0
"Nine Occupants";"....Davao de Oro (Compostela Valley)";2629;62;280;696;633;435;195;100;90;51;44;43;0;0
"Nine Occupants";"....Davao del Norte";3475;46;171;600;650;654;502;314;241;142;86;67;2;0
"Nine Occupants";"....Davao del Sur *";1358;43;162;340;248;196;133;74;57;43;31;31;0;0
"Nine Occupants";"....Davao Occidental";1022;13;119;308;287;171;67;26;15;7;3;5;1;0
"Nine Occupants";"....Davao Oriental";1980;20;108;435;419;318;220;157;139;81;38;44;1;0
"Nine Occupants";"....City of Davao";4125;109;298;542;529;644;627;443;421;228;153;129;2;0
"Nine Occupants";"..REGION XII (SOCCSKSARGEN)";14555;183;1063;2956;3362;2776;1787;1087;633;355;181;170;1;1
"Nine Occupants";"....Cotabato (North Cotabato)";4695;138;648;1274;1061;681;359;209;127;85;52;60;0;1
"Nine Occupants";"....Sarangani";1949;23;206;595;527;315;127;76;38;22;7;12;1;0
"Nine Occupants";"....South Cotabato *";2762;8;83;493;760;656;364;165;123;61;28;21;0;0
"Nine Occupants";"....Sultan Kudarat";3048;6;62;333;668;719;561;348;177;85;50;39;0;0
"Nine Occupants";"....City of General Santos (Dadiangas)";2101;8;64;261;346;405;376;289;168;102;44;38;0;0
"Nine Occupants";"..REGION XIII (CARAGA)";11531;163;611;1710;2298;2328;1656;1061;729;452;249;270;4;0
"Nine Occupants";"....Agusan del Norte *";1610;41;196;358;288;227;136;106;85;65;49;57;2;0
"Nine Occupants";"....Agusan del Sur";3059;1;65;435;836;788;494;200;104;67;45;23;1;0
"Nine Occupants";"....Dinagat Islands";627;40;77;150;131;106;46;25;15;20;9;8;0;0
"Nine Occupants";"....Surigao del Norte";2145;45;163;371;406;362;254;181;144;97;57;65;0;0
"Nine Occupants";"....Surigao del Sur";2651;11;40;206;441;642;547;345;220;93;51;55;0;0
"Nine Occupants";"....City of Butuan";1439;25;70;190;196;203;179;204;161;110;38;62;1;0
"Nine Occupants";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";31425;269;941;3295;5809;5997;5067;4042;2692;1506;734;532;541;0
"Nine Occupants";"....Basilan";2925;20;79;282;576;743;553;329;215;72;24;21;11;0
"Nine Occupants";"....Lanao del Sur";6568;59;197;424;750;1006;1109;1101;847;530;319;216;10;0
"Nine Occupants";"....Maguindanao";11226;101;315;1301;2304;2142;1882;1525;856;408;188;176;28;0
"Nine Occupants";"....Sulu";7022;49;234;849;1404;1365;915;636;522;350;142;67;489;0
"Nine Occupants";"....Tawi-Tawi";2698;12;55;361;697;638;384;191;170;111;51;25;3;0
"Nine Occupants";"....Eight (8) Area Clusters ***";986;28;61;78;78;103;224;260;82;35;10;27;0;0
"Ten Occupants or More";"PHILIPPINES";463431;5456;19984;54100;75679;90596;69959;50056;38745;24661;14879;16062;3233;21
"Ten Occupants or More";"..NATIONAL CAPITAL REGION (NCR)";42295;434;1632;4898;7942;9233;5422;2960;2177;1732;1435;2505;1919;6
"Ten Occupants or More";"....City of Manila";6366;88;373;988;1333;1329;813;467;329;237;204;140;61;4
"Ten Occupants or More";"....City of Mandaluyong";1300;15;66;236;303;245;133;62;46;29;25;58;82;0
"Ten Occupants or More";"....City of Marikina";1969;15;31;146;520;439;230;163;123;91;64;147;0;0
"Ten Occupants or More";"....City of Pasig";2122;12;52;251;481;524;251;133;95;64;51;105;103;0
"Ten Occupants or More";"....Quezon City";12402;154;495;1292;2128;2893;1605;729;588;528;448;1089;453;0
"Ten Occupants or More";"....City of San Juan";499;6;19;27;68;78;53;36;23;22;17;52;97;1
"Ten Occupants or More";"....City of Caloocan";4061;53;113;317;618;953;705;496;330;252;100;122;2;0
"Ten Occupants or More";"....City of Malabon";755;5;29;84;181;155;121;88;33;26;19;11;2;1
"Ten Occupants or More";"....City of Navotas";337;15;35;74;59;48;39;40;8;7;7;3;2;0
"Ten Occupants or More";"....City of Valenzuela";959;5;37;134;230;209;124;59;50;35;33;43;0;0
"Ten Occupants or More";"....City of Las Piñas";1463;6;36;196;338;297;166;100;80;63;84;97;0;0
"Ten Occupants or More";"....City of Makati";2688;10;52;163;319;395;285;136;101;81;73;147;926;0
"Ten Occupants or More";"....City of Muntinlupa";1559;7;36;107;186;325;149;86;92;74;154;258;85;0
"Ten Occupants or More";"....City of Parañaque";2326;26;136;412;464;435;262;129;103;101;83;173;2;0
"Ten Occupants or More";"....Pasay City";1177;3;45;202;267;248;133;58;63;47;30;22;59;0
"Ten Occupants or More";"....City of Taguig";2070;14;74;249;394;587;315;152;97;66;42;35;45;0
"Ten Occupants or More";"....Pateros";242;0;3;20;53;73;38;26;16;9;1;3;0;0
"Ten Occupants or More";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";9058;8;48;346;1051;1710;1704;1377;1130;738;453;493;0;0
"Ten Occupants or More";"....Abra";1345;0;3;23;131;235;270;220;196;145;57;65;0;0
"Ten Occupants or More";"....Apayao";576;1;4;46;94;166;96;73;49;21;13;13;0;0
"Ten Occupants or More";"....Benguet *";2147;3;7;73;192;386;388;294;302;205;129;168;0;0
"Ten Occupants or More";"....Ifugao";1235;3;22;93;222;243;207;165;113;77;34;56;0;0
"Ten Occupants or More";"....Kalinga";1986;1;3;34;225;384;421;379;254;145;82;58;0;0
"Ten Occupants or More";"....Mountain Province";941;0;6;51;150;210;202;132;81;62;33;14;0;0
"Ten Occupants or More";"....City of Baguio";828;0;3;26;37;86;120;114;135;83;105;119;0;0
"Ten Occupants or More";"..REGION I (ILOCOS REGION)";18574;139;638;1230;2065;3384;3309;2816;2065;1362;797;759;10;0
"Ten Occupants or More";"....Ilocos Norte";1953;2;22;70;192;410;348;316;225;173;100;95;0;0
"Ten Occupants or More";"....Ilocos Sur";2842;38;191;268;266;417;409;347;293;239;162;210;2;0
"Ten Occupants or More";"....La Union";2990;6;44;145;356;588;542;455;381;225;129;119;0;0
"Ten Occupants or More";"....Pangasinan";10789;93;381;747;1251;1969;2010;1698;1166;725;406;335;8;0
"Ten Occupants or More";"..REGION II (CAGAYAN VALLEY)";12707;67;355;851;1753;2825;2206;1636;1191;878;471;472;2;0
"Ten Occupants or More";"....Batanes";41;1;4;2;3;11;5;6;6;0;1;2;0;0
"Ten Occupants or More";"....Cagayan";5387;30;198;437;810;1264;828;609;458;347;192;214;0;0
"Ten Occupants or More";"....Isabela";5036;20;100;264;651;1091;920;738;518;372;198;162;2;0
"Ten Occupants or More";"....Nueva Vizcaya";1463;16;53;139;203;276;249;156;124;101;60;86;0;0
"Ten Occupants or More";"....Quirino";780;0;0;9;86;183;204;127;85;58;20;8;0;0
"Ten Occupants or More";"..REGION III (CENTRAL LUZON)";39034;440;929;2508;4806;8119;6655;5069;4389;2608;1539;1903;62;7
"Ten Occupants or More";"....Aurora";878;3;12;59;162;194;147;116;80;49;34;22;0;0
"Ten Occupants or More";"....Bataan";2758;8;34;175;349;504;515;377;324;224;109;137;2;0
"Ten Occupants or More";"....Bulacan";9447;97;215;582;1136;2846;1628;941;775;498;323;376;30;0
"Ten Occupants or More";"....Nueva Ecija";6380;58;225;625;1011;1190;1005;789;587;404;213;269;4;0
"Ten Occupants or More";"....Pampanga *";9505;177;248;540;1032;1632;1452;1300;1324;734;430;622;13;1
"Ten Occupants or More";"....Tarlac";5762;49;156;349;697;999;1080;841;680;375;233;290;13;0
"Ten Occupants or More";"....Zambales *";1996;0;25;120;256;353;408;326;266;130;73;33;0;6
"Ten Occupants or More";"....City of Angeles";1225;47;6;29;92;209;191;171;202;95;69;114;0;0
"Ten Occupants or More";"....City of Olongapo";1083;1;8;29;71;192;229;208;151;99;55;40;0;0
"Ten Occupants or More";"..REGION IV-A (CALABARZON)";51668;524;1457;4096;6346;12806;9204;6000;4820;2863;1713;1810;27;2
"Ten Occupants or More";"....Batangas";10738;206;498;1259;1581;1854;1727;1191;968;663;391;398;1;1
"Ten Occupants or More";"....Cavite";13203;59;198;516;1231;3636;2514;1865;1509;813;415;430;16;1
"Ten Occupants or More";"....Laguna";8306;66;178;446;844;2228;1524;986;885;533;320;295;1;0
"Ten Occupants or More";"....Quezon *";6059;49;266;1058;1153;1135;959;601;422;189;122;102;3;0
"Ten Occupants or More";"....Rizal";12441;142;304;764;1439;3697;2281;1252;930;624;440;562;6;0
"Ten Occupants or More";"....City of Lucena";921;2;13;53;98;256;199;105;106;41;25;23;0;0
"Ten Occupants or More";"..MIMAROPA REGION";11285;377;1145;2366;2307;1882;1156;722;548;344;212;217;9;0
"Ten Occupants or More";"....Marinduque";858;29;84;211;134;127;85;54;48;29;25;26;6;0
"Ten Occupants or More";"....Occidental Mindoro";1576;42;145;360;373;273;138;96;51;42;29;27;0;0
"Ten Occupants or More";"....Oriental Mindoro";3983;59;282;787;871;734;487;278;229;127;63;65;1;0
"Ten Occupants or More";"....Palawan *";3218;207;537;756;636;473;241;142;87;62;43;34;0;0
"Ten Occupants or More";"....Romblon";954;11;56;164;188;171;126;85;74;31;19;27;2;0
"Ten Occupants or More";"....City of Puerto Princesa";696;29;41;88;105;104;79;67;59;53;33;38;0;0
"Ten Occupants or More";"..REGION V (BICOL REGION)";37285;652;2364;5179;7546;8160;4767;3206;2381;1409;829;769;20;3
"Ten Occupants or More";"....Albay";7498;233;649;1024;1373;1468;962;657;512;284;160;170;5;1
"Ten Occupants or More";"....Camarines Norte";3303;10;71;342;581;762;554;361;284;186;72;80;0;0
"Ten Occupants or More";"....Camarines Sur";15156;244;935;1982;3123;3497;1976;1273;918;537;358;305;8;0
"Ten Occupants or More";"....Catanduanes";1705;1;14;111;253;468;268;204;190;101;55;38;1;1
"Ten Occupants or More";"....Masbate";4891;104;477;1162;1188;772;406;301;154;136;98;89;3;1
"Ten Occupants or More";"....Sorsogon";4732;60;218;558;1028;1193;601;410;323;165;86;87;3;0
"Ten Occupants or More";"..REGION VI (WESTERN VISAYAS)";30979;319;1555;4513;5095;5009;4580;3159;2581;1678;1110;1340;40;0
"Ten Occupants or More";"....Aklan";2577;2;23;149;340;553;574;348;262;145;89;92;0;0
"Ten Occupants or More";"....Antique";2708;26;140;477;599;441;317;213;196;127;73;96;3;0
"Ten Occupants or More";"....Capiz";2555;24;106;393;548;426;340;221;198;116;99;82;2;0
"Ten Occupants or More";"....Guimaras";645;3;35;141;146;118;71;44;32;23;21;10;1;0
"Ten Occupants or More";"....Iloilo *";8234;100;376;1048;1244;1413;1165;847;791;507;334;390;19;0
"Ten Occupants or More";"....Negros Occidental *";8817;133;797;2021;1767;1239;929;697;484;311;197;238;4;0
"Ten Occupants or More";"....City of Bacolod";2591;27;53;151;240;368;595;382;269;204;122;180;0;0
"Ten Occupants or More";"....City of Iloilo";2852;4;25;133;211;451;589;407;349;245;175;252;11;0
"Ten Occupants or More";"..REGION VII (CENTRAL VISAYAS)";34500;762;2568;6721;6331;5732;4127;2642;2165;1357;888;1190;17;0
"Ten Occupants or More";"....Bohol";8163;165;490;1335;1490;1371;989;699;588;400;260;368;8;0
"Ten Occupants or More";"....Cebu *";13846;399;1253;3028;2514;2101;1520;962;806;508;333;416;6;0
"Ten Occupants or More";"....Negros Oriental";5597;117;547;1488;1108;793;477;335;272;190;132;138;0;0
"Ten Occupants or More";"....Siquijor";506;0;3;9;34;87;139;113;47;36;18;19;1;0
"Ten Occupants or More";"....City of Cebu";3993;62;164;557;783;844;576;316;279;147;97;167;1;0
"Ten Occupants or More";"....City of Lapu-Lapu (Opon)";1523;13;77;189;252;330;286;147;113;47;25;43;1;0
"Ten Occupants or More";"....City of Mandaue";872;6;34;115;150;206;140;70;60;29;23;39;0;0
"Ten Occupants or More";"..REGION VIII (EASTERN VISAYAS)";23700;303;1097;2922;4058;4778;3462;2444;1833;1251;798;744;10;0
"Ten Occupants or More";"....Biliran";774;2;13;45;89;144;164;133;82;48;29;25;0;0
"Ten Occupants or More";"....Eastern Samar";2161;6;22;130;273;474;455;325;215;137;65;58;1;0
"Ten Occupants or More";"....Leyte *";6993;59;335;1075;1234;1139;948;633;566;391;280;331;2;0
"Ten Occupants or More";"....Northern Samar";4843;190;551;748;871;1168;556;291;177;133;91;66;1;0
"Ten Occupants or More";"....Samar (Western Samar)";4706;7;17;382;929;1075;728;639;448;274;134;67;6;0
"Ten Occupants or More";"....Southern Leyte";2631;32;130;409;478;448;371;223;190;152;86;112;0;0
"Ten Occupants or More";"....City of Tacloban";1592;7;29;133;184;330;240;200;155;116;113;85;0;0
"Ten Occupants or More";"..REGION IX (ZAMBOANGA PENINSULA)";19900;206;837;2564;3337;3372;2990;2095;1846;1198;720;716;19;0
"Ten Occupants or More";"....Zamboanga del Norte";4799;134;511;1227;966;713;410;233;231;168;85;121;0;0
"Ten Occupants or More";"....Zamboanga del Sur *";6328;13;84;436;992;1308;1338;782;611;357;248;158;1;0
"Ten Occupants or More";"....Zamboanga Sibugay";3369;10;108;590;932;724;425;255;142;76;52;50;5;0
"Ten Occupants or More";"....City of Isabela **";1202;4;8;58;157;174;184;197;188;111;60;58;3;0
"Ten Occupants or More";"....City of Zamboanga";4202;45;126;253;290;453;633;628;674;486;275;329;10;0
"Ten Occupants or More";"..REGION X (NORTHERN MINDANAO)";20894;213;1131;3192;3479;3516;2964;2115;1642;1166;732;736;7;1
"Ten Occupants or More";"....Bukidnon";6334;123;680;1462;1112;848;596;413;364;323;182;227;3;1
"Ten Occupants or More";"....Camiguin";424;4;9;29;51;70;54;50;62;33;29;33;0;0
"Ten Occupants or More";"....Lanao del Norte *";4574;12;69;338;746;895;810;608;417;332;217;129;1;0
"Ten Occupants or More";"....Misamis Occidental";2497;46;201;522;493;372;253;188;150;106;71;94;1;0
"Ten Occupants or More";"....Misamis Oriental *";3740;14;107;591;701;774;619;386;254;138;82;72;2;0
"Ten Occupants or More";"....City of Cagayan de Oro";1799;10;41;132;227;303;369;273;193;107;62;82;0;0
"Ten Occupants or More";"....City of Iligan";1526;4;24;118;149;254;263;197;202;127;89;99;0;0
"Ten Occupants or More";"..REGION XI (DAVAO REGION)";14583;193;980;2619;2596;2469;1831;1329;1074;687;419;374;12;0
"Ten Occupants or More";"....Davao de Oro (Compostela Valley)";2529;47;223;611;587;453;220;141;95;71;39;41;1;0
"Ten Occupants or More";"....Davao del Norte";3859;39;162;580;689;719;561;407;317;176;105;99;5;0
"Ten Occupants or More";"....Davao del Sur *";1259;19;130;286;225;183;123;95;61;61;40;35;1;0
"Ten Occupants or More";"....Davao Occidental";993;13;121;283;261;180;74;29;17;9;4;2;0;0
"Ten Occupants or More";"....Davao Oriental";1985;14;98;381;376;313;244;172;163;118;62;42;2;0
"Ten Occupants or More";"....City of Davao";3958;61;246;478;458;621;609;485;421;252;169;155;3;0
"Ten Occupants or More";"..REGION XII (SOCCSKSARGEN)";15741;171;934;2655;3348;2958;2139;1522;991;502;278;242;1;0
"Ten Occupants or More";"....Cotabato (North Cotabato)";5324;121;574;1310;1185;764;511;346;228;131;69;85;0;0
"Ten Occupants or More";"....Sarangani";1785;20;164;498;450;293;155;100;40;34;21;9;1;0
"Ten Occupants or More";"....South Cotabato *";2772;10;85;366;659;661;437;238;158;84;38;36;0;0
"Ten Occupants or More";"....Sultan Kudarat";3642;9;59;297;722;796;637;505;316;146;92;63;0;0
"Ten Occupants or More";"....City of General Santos (Dadiangas)";2218;11;52;184;332;444;399;333;249;107;58;49;0;0
"Ten Occupants or More";"..REGION XIII (CARAGA)";12648;149;642;1712;2218;2392;1968;1284;945;579;368;386;5;0
"Ten Occupants or More";"....Agusan del Norte *";1814;50;187;390;319;257;156;128;98;72;65;92;0;0
"Ten Occupants or More";"....Agusan del Sur";3060;6;32;388;728;724;564;292;175;92;34;24;1;0
"Ten Occupants or More";"....Dinagat Islands";877;37;140;218;169;127;78;46;19;14;16;12;1;0
"Ten Occupants or More";"....Surigao del Norte";2351;28;153;346;415;426;297;238;175;110;76;86;1;0
"Ten Occupants or More";"....Surigao del Sur";2911;8;41;194;364;629;657;380;300;159;102;77;0;0
"Ten Occupants or More";"....City of Butuan";1635;20;89;176;223;229;216;200;178;132;75;95;2;0
"Ten Occupants or More";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";68580;499;1672;5728;11401;12251;11475;9680;6967;4309;2117;1406;1073;2
"Ten Occupants or More";"....Basilan";5658;27;135;407;1101;1301;1082;743;503;190;104;44;21;0
"Ten Occupants or More";"....Lanao del Sur";17466;160;391;943;1937;2675;2743;3072;2344;1503;938;718;40;2
"Ten Occupants or More";"....Maguindanao";19581;137;435;1733;3292;3318;3488;3178;1975;1105;488;387;45;0
"Ten Occupants or More";"....Sulu";17174;106;470;1828;3420;3196;2530;1621;1438;1089;382;129;965;0
"Ten Occupants or More";"....Tawi-Tawi";7256;17;148;712;1544;1607;1301;713;570;377;186;79;2;0
"Ten Occupants or More";"....Eight (8) Area Clusters ***";1445;52;93;105;107;154;331;353;137;45;19;49;0;0
