"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Extent PIP Objective Was Met and Major Industry Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3501B3GP06b.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Productivity Improvement Programs (PIPs)";"Extent PIP Objective Was Met";"2013"
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Machine Downtime";"..100%";60
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Machine Downtime";"..99% - 50%";150
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Machine Downtime";"..Below 50%";16
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Rework";"Total";159
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Rework";"..100%";60
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Rework";"..99% - 50%";88
"..Human Health and Social Work Activities Except Public Health Activities";"Reduction of Rework";"..Below 50%";11
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Profit or Sales";"Total";263
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Profit or Sales";"..100%";123
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Profit or Sales";"..99% - 50%";122
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Profit or Sales";"..Below 50%";18
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Volume of Production";"Total";144
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Volume of Production";"..100%";116
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Volume of Production";"..99% - 50%";19
"..Human Health and Social Work Activities Except Public Health Activities";"Increase Volume of Production";"..Below 50%";10
"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product Quality";"Total";236
"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product Quality";"..100%";74
"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product Quality";"..99% - 50%";161
"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product Quality";"..Below 50%";1
"..Human Health and Social Work Activities Except Public Health Activities";"Others";"Total";90
"..Human Health and Social Work Activities Except Public Health Activities";"Others";"..100%";0
"..Human Health and Social Work Activities Except Public Health Activities";"Others";"..99% - 50%";83
"..Human Health and Social Work Activities Except Public Health Activities";"Others";"..Below 50%";7
"..Arts, Entertainment and  Recreation";"Shorten Process Cycle Time";"Total";19
"..Arts, Entertainment and  Recreation";"Shorten Process Cycle Time";"..100%";2
"..Arts, Entertainment and  Recreation";"Shorten Process Cycle Time";"..99% - 50%";17
"..Arts, Entertainment and  Recreation";"Shorten Process Cycle Time";"..Below 50%";0
"..Arts, Entertainment and  Recreation";"Reduction of Work Accidents/Injuries";"Total";44
"..Arts, Entertainment and  Recreation";"Reduction of Work Accidents/Injuries";"..100%";15
"..Arts, Entertainment and  Recreation";"Reduction of Work Accidents/Injuries";"..99% - 50%";27
"..Arts, Entertainment and  Recreation";"Reduction of Work Accidents/Injuries";"..Below 50%";2
"..Arts, Entertainment and  Recreation";"Reduction of Wastage";"Total";57
"..Arts, Entertainment and  Recreation";"Reduction of Wastage";"..100%";4
"..Arts, Entertainment and  Recreation";"Reduction of Wastage";"..99% - 50%";41
"..Arts, Entertainment and  Recreation";"Reduction of Wastage";"..Below 50%";13
"..Arts, Entertainment and  Recreation";"Reduction of Customer Complaints";"Total";106
"..Arts, Entertainment and  Recreation";"Reduction of Customer Complaints";"..100%";18
"..Arts, Entertainment and  Recreation";"Reduction of Customer Complaints";"..99% - 50%";63
"..Arts, Entertainment and  Recreation";"Reduction of Customer Complaints";"..Below 50%";25
"..Arts, Entertainment and  Recreation";"Reduction of Personnel Downtime";"Total";29
"..Arts, Entertainment and  Recreation";"Reduction of Personnel Downtime";"..100%";0
"..Arts, Entertainment and  Recreation";"Reduction of Personnel Downtime";"..99% - 50%";27
"..Arts, Entertainment and  Recreation";"Reduction of Personnel Downtime";"..Below 50%";2
"..Arts, Entertainment and  Recreation";"Reduction of Machine Downtime";"Total";17
"..Arts, Entertainment and  Recreation";"Reduction of Machine Downtime";"..100%";0
"..Arts, Entertainment and  Recreation";"Reduction of Machine Downtime";"..99% - 50%";13
"..Arts, Entertainment and  Recreation";"Reduction of Machine Downtime";"..Below 50%";4
"..Arts, Entertainment and  Recreation";"Reduction of Rework";"Total";16
"..Arts, Entertainment and  Recreation";"Reduction of Rework";"..100%";0
"..Arts, Entertainment and  Recreation";"Reduction of Rework";"..99% - 50%";14
"..Arts, Entertainment and  Recreation";"Reduction of Rework";"..Below 50%";2
"..Arts, Entertainment and  Recreation";"Increase Profit or Sales";"Total";44
"..Arts, Entertainment and  Recreation";"Increase Profit or Sales";"..100%";4
"..Arts, Entertainment and  Recreation";"Increase Profit or Sales";"..99% - 50%";29
"..Arts, Entertainment and  Recreation";"Increase Profit or Sales";"..Below 50%";10
"..Arts, Entertainment and  Recreation";"Increase Volume of Production";"Total";19
"..Arts, Entertainment and  Recreation";"Increase Volume of Production";"..100%";2
"..Arts, Entertainment and  Recreation";"Increase Volume of Production";"..99% - 50%";6
"..Arts, Entertainment and  Recreation";"Increase Volume of Production";"..Below 50%";10
"..Arts, Entertainment and  Recreation";"Improve Product Quality";"Total";24
"..Arts, Entertainment and  Recreation";"Improve Product Quality";"..100%";6
"..Arts, Entertainment and  Recreation";"Improve Product Quality";"..99% - 50%";18
"..Arts, Entertainment and  Recreation";"Improve Product Quality";"..Below 50%";0
"..Arts, Entertainment and  Recreation";"Others";"Total";10
"..Arts, Entertainment and  Recreation";"Others";"..100%";0
"..Arts, Entertainment and  Recreation";"Others";"..99% - 50%";0
"..Arts, Entertainment and  Recreation";"Others";"..Below 50%";10
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Shorten Process Cycle Time";"Total";67
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Shorten Process Cycle Time";"..100%";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Shorten Process Cycle Time";"..99% - 50%";66
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Shorten Process Cycle Time";"..Below 50%";1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Work Accidents/Injuries";"Total";103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Work Accidents/Injuries";"..100%";51
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Work Accidents/Injuries";"..99% - 50%";51
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Work Accidents/Injuries";"..Below 50%";2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Wastage";"Total";96
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Wastage";"..100%";17
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Wastage";"..99% - 50%";71
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Wastage";"..Below 50%";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Customer Complaints";"Total";189
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Customer Complaints";"..100%";42
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Customer Complaints";"..99% - 50%";125
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Customer Complaints";"..Below 50%";21
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Personnel Downtime";"Total";56
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Personnel Downtime";"..100%";9
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Personnel Downtime";"..99% - 50%";38
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Personnel Downtime";"..Below 50%";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Machine Downtime";"Total";42
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Machine Downtime";"..100%";25
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Machine Downtime";"..99% - 50%";17
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Machine Downtime";"..Below 50%";1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Rework";"Total";112
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Rework";"..100%";33
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Rework";"..99% - 50%";62
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduction of Rework";"..Below 50%";17
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Profit or Sales";"Total";162
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Profit or Sales";"..100%";26
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Profit or Sales";"..99% - 50%";111
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Profit or Sales";"..Below 50%";26
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Volume of Production";"Total";57
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Volume of Production";"..100%";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Volume of Production";"..99% - 50%";31
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Increase Volume of Production";"..Below 50%";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product Quality";"Total";93
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product Quality";"..100%";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product Quality";"..99% - 50%";76
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product Quality";"..Below 50%";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";"Total";2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";"..100%";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";"..99% - 50%";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";"..Below 50%";2
