"Number of Establishments Employing 20 or More Workers With Productivity Improvement Programs (PIPs) by Extent PIP Objective Was Met and Major Industry Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/3501B3GP06b.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Productivity Improvement Programs (PIPs)";"Extent PIP Objective Was Met";"2013"
"..Mining and Quarrying";"Improve Product Quality";"..99% - 50%";26
"..Mining and Quarrying";"Improve Product Quality";"..Below 50%";0
"..Mining and Quarrying";"Others";"Total";6
"..Mining and Quarrying";"Others";"..100%";2
"..Mining and Quarrying";"Others";"..99% - 50%";5
"..Mining and Quarrying";"Others";"..Below 50%";0
"..Manufacturing";"Shorten Process Cycle Time";"Total";1990
"..Manufacturing";"Shorten Process Cycle Time";"..100%";354
"..Manufacturing";"Shorten Process Cycle Time";"..99% - 50%";1499
"..Manufacturing";"Shorten Process Cycle Time";"..Below 50%";137
"..Manufacturing";"Reduction of Work Accidents/Injuries";"Total";2982
"..Manufacturing";"Reduction of Work Accidents/Injuries";"..100%";866
"..Manufacturing";"Reduction of Work Accidents/Injuries";"..99% - 50%";1836
"..Manufacturing";"Reduction of Work Accidents/Injuries";"..Below 50%";280
"..Manufacturing";"Reduction of Wastage";"Total";2866
"..Manufacturing";"Reduction of Wastage";"..100%";500
"..Manufacturing";"Reduction of Wastage";"..99% - 50%";2055
"..Manufacturing";"Reduction of Wastage";"..Below 50%";311
"..Manufacturing";"Reduction of Customer Complaints";"Total";3119
"..Manufacturing";"Reduction of Customer Complaints";"..100%";745
"..Manufacturing";"Reduction of Customer Complaints";"..99% - 50%";1917
"..Manufacturing";"Reduction of Customer Complaints";"..Below 50%";457
"..Manufacturing";"Reduction of Personnel Downtime";"Total";1838
"..Manufacturing";"Reduction of Personnel Downtime";"..100%";342
"..Manufacturing";"Reduction of Personnel Downtime";"..99% - 50%";1304
"..Manufacturing";"Reduction of Personnel Downtime";"..Below 50%";193
"..Manufacturing";"Reduction of Machine Downtime";"Total";2151
"..Manufacturing";"Reduction of Machine Downtime";"..100%";388
"..Manufacturing";"Reduction of Machine Downtime";"..99% - 50%";1497
"..Manufacturing";"Reduction of Machine Downtime";"..Below 50%";265
"..Manufacturing";"Reduction of Rework";"Total";2111
"..Manufacturing";"Reduction of Rework";"..100%";451
"..Manufacturing";"Reduction of Rework";"..99% - 50%";1328
"..Manufacturing";"Reduction of Rework";"..Below 50%";332
"..Manufacturing";"Increase Profit or Sales";"Total";3002
"..Manufacturing";"Increase Profit or Sales";"..100%";856
"..Manufacturing";"Increase Profit or Sales";"..99% - 50%";1850
"..Manufacturing";"Increase Profit or Sales";"..Below 50%";296
"..Manufacturing";"Increase Volume of Production";"Total";2836
"..Manufacturing";"Increase Volume of Production";"..100%";658
"..Manufacturing";"Increase Volume of Production";"..99% - 50%";2018
"..Manufacturing";"Increase Volume of Production";"..Below 50%";159
"..Manufacturing";"Improve Product Quality";"Total";3071
"..Manufacturing";"Improve Product Quality";"..100%";1070
"..Manufacturing";"Improve Product Quality";"..99% - 50%";1837
"..Manufacturing";"Improve Product Quality";"..Below 50%";165
"..Manufacturing";"Others";"Total";45
"..Manufacturing";"Others";"..100%";1
"..Manufacturing";"Others";"..99% - 50%";34
"..Manufacturing";"Others";"..Below 50%";10
"..Electricity, Gas, Steam and Air Conditioning Supply";"Shorten Process Cycle Time";"Total";78
"..Electricity, Gas, Steam and Air Conditioning Supply";"Shorten Process Cycle Time";"..100%";14
"..Electricity, Gas, Steam and Air Conditioning Supply";"Shorten Process Cycle Time";"..99% - 50%";62
"..Electricity, Gas, Steam and Air Conditioning Supply";"Shorten Process Cycle Time";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Work Accidents/Injuries";"Total";199
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Work Accidents/Injuries";"..100%";113
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Work Accidents/Injuries";"..99% - 50%";86
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Work Accidents/Injuries";"..Below 50%";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Wastage";"Total";84
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Wastage";"..100%";8
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Wastage";"..99% - 50%";75
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Wastage";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Customer Complaints";"Total";242
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Customer Complaints";"..100%";59
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Customer Complaints";"..99% - 50%";181
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Customer Complaints";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Personnel Downtime";"Total";108
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Personnel Downtime";"..100%";29
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Personnel Downtime";"..99% - 50%";75
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Personnel Downtime";"..Below 50%";4
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Machine Downtime";"Total";83
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Machine Downtime";"..100%";26
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Machine Downtime";"..99% - 50%";55
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Machine Downtime";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Rework";"Total";107
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Rework";"..100%";10
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Rework";"..99% - 50%";95
"..Electricity, Gas, Steam and Air Conditioning Supply";"Reduction of Rework";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Profit or Sales";"Total";40
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Profit or Sales";"..100%";14
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Profit or Sales";"..99% - 50%";22
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Profit or Sales";"..Below 50%";4
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Volume of Production";"Total";64
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Volume of Production";"..100%";13
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Volume of Production";"..99% - 50%";49
"..Electricity, Gas, Steam and Air Conditioning Supply";"Increase Volume of Production";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product Quality";"Total";188
"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product Quality";"..100%";94
"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product Quality";"..99% - 50%";91
"..Electricity, Gas, Steam and Air Conditioning Supply";"Improve Product Quality";"..Below 50%";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";"Total";9
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";"..100%";6
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";"..99% - 50%";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";"..Below 50%";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Shorten Process Cycle Time";"Total";79
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Shorten Process Cycle Time";"..100%";17
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Shorten Process Cycle Time";"..99% - 50%";58
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Shorten Process Cycle Time";"..Below 50%";4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduction of Work Accidents/Injuries";"Total";64
