"Deaths : Number of Registered Infant Deaths by Usual Residence and Attendance at Death, (Region,Province and City/Municipality) Philippines: 2016"

"Geolocation";"Total";"Private Physician";"Public Health Officer";"Hospital Authority";"None";"Others";"Not Stated"
"..REGION IX- ZAMBOANGA PENINSULA";594;38;7;373;173;..;3
"....Zamboanga Del Norte";129;4;6;70;49;..;..
"....Zamboanga Del Sur";375;27;..;252;94;..;2
"....Zamboanga Sibugay";76;6;1;39;30;..;..
"....Isabela City";14;1;..;12;..;..;1
"..REGION X- NORTHERN MINDANAO";1000;111;10;625;251;3;..
"....Bukidnon";296;19;4;207;66;..;..
"....Camiguin";11;1;1;9;..;..;..
"....Lanao Del Norte";176;19;1;110;46;..;..
"....Misamis Occidental";140;17;1;95;27;..;..
"....Misamis Oriental";377;55;3;204;112;3;..
"..REGION XI - DAVAO";1000;43;5;642;277;3;30
"....Davao Del Norte";271;9;1;185;75;..;1
"....Davao Del Sur";482;21;4;319;107;3;28
"....Davao Oriental";85;9;..;32;43;..;1
"....Compostela Valley";138;2;..;93;43;..;..
"....Davao Occidental";24;2;..;13;9;..;..
"..REGION XII- SOCCSKSARGEN";666;146;17;309;191;1;2
"....Cotabato";167;13;7;78;69;..;..
"....South Cotabato";370;108;6;172;81;1;2
"....Sultan Kudarat";76;15;2;33;26;..;..
"....Sarangani";43;10;2;17;14;..;..
"....Cotabato City";10;..;..;9;1;..;..
"..REGION XIII - CARAGA";345;18;1;225;101;..;..
"....Agusan Del Norte";106;2;1;77;26;..;..
"....Agusan Del Sur";84;4;..;51;29;..;..
"....Surigao Del Norte";90;4;..;65;21;..;..
"....Surigao Del Sur";61;8;..;31;22;..;..
"....Dinagat Islands";4;..;..;1;3;..;..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO";209;6;15;159;27;..;2
"....Basilan";7;1;0;5;0;..;1
"....Lanao Del Sur";86;5;13;56;12;..;..
"....Maguindanao";58;..;2;44;11;..;1
"....Sulu";51;..;..;50;1;..;..
"....Tawi-Tawi";7;..;..;4;3;..;..
"FOREIGN COUNTRIES";4;1;..;3;..;..;..
