"Cases of Occupational Injuries With Workdays Lost in Agricultural and Non-Agricultural Establishments Employing 20 or More Workers by Industry Group and Major Occupation Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/3001B3GI050.px/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Service Workers and Shop and Market Sales Workers";12
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Farmers, Forestry Workers and Fishermen";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Craft and Related Trades Workers";2
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Plant and Machine Operators and Assemblers";9
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Laborers and Unskilled Workers";69
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total";184
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Professionals";4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Technicians and Associate Professionals";41
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Clerks";20
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Service Workers and Shop and Market Sales Workers";2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Farmers, Forestry Workers and Fishermen";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Craft and Related Trades Workers";15
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Plant and Machine Operators and Assemblers";13
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Laborers and Unskilled Workers";88
"..Construction";"Total";525
"..Construction";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";3
"..Construction";"..Professionals";24
"..Construction";"..Technicians and Associate Professionals";31
"..Construction";"..Clerks";0
"..Construction";"..Service Workers and Shop and Market Sales Workers";5
"..Construction";"..Farmers, Forestry Workers and Fishermen";0
"..Construction";"..Craft and Related Trades Workers";55
"..Construction";"..Plant and Machine Operators and Assemblers";39
"..Construction";"..Laborers and Unskilled Workers";368
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"Total";2155
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";23
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Professionals";76
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Technicians and Associate Professionals";195
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Clerks";172
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Service Workers and Shop and Market Sales Workers";1141
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Farmers, Forestry Workers and Fishermen";0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Craft and Related Trades Workers";5
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Plant and Machine Operators and Assemblers";108
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";"..Laborers and Unskilled Workers";437
"..Transportation and Storage";"Total";1163
"..Transportation and Storage";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";0
"..Transportation and Storage";"..Professionals";9
"..Transportation and Storage";"..Technicians and Associate Professionals";149
"..Transportation and Storage";"..Clerks";11
"..Transportation and Storage";"..Service Workers and Shop and Market Sales Workers";146
"..Transportation and Storage";"..Farmers, Forestry Workers and Fishermen";0
"..Transportation and Storage";"..Craft and Related Trades Workers";40
"..Transportation and Storage";"..Plant and Machine Operators and Assemblers";90
"..Transportation and Storage";"..Laborers and Unskilled Workers";721
