"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Occupied Housing Units";"Number of Households /a";"Household Population /a"
"Single house";"....Eight (8) Area Clusters ***";45517;47305;213863
"Duplex";"PHILIPPINES";746765;785663;3070395
"Duplex";"..NATIONAL CAPITAL REGION (NCR)";130099;140826;552315
"Duplex";"....City of Manila";12984;14503;58112
"Duplex";"....City of Mandaluyong";2689;3003;11644
"Duplex";"....City of Marikina";4818;5092;21676
"Duplex";"....City of Pasig";11219;12265;47671
"Duplex";"....Quezon City";26169;27601;111826
"Duplex";"....City of San Juan";764;851;3495
"Duplex";"....City of Caloocan";17821;18937;78340
"Duplex";"....City of Malabon";1947;2055;8382
"Duplex";"....City of Navotas";1449;1624;6265
"Duplex";"....City of Valenzuela";8521;9090;33642
"Duplex";"....City of Las Piñas";7140;7735;29995
"Duplex";"....City of Makati";4892;5080;19597
"Duplex";"....City of Muntinlupa";5444;6122;23046
"Duplex";"....City of Parañaque";5234;5734;21657
"Duplex";"....Pasay City";3372;3934;14350
"Duplex";"....City of Taguig";14700;16169;58386
"Duplex";"....Pateros";936;1031;4231
"Duplex";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";1736;1799;6718
"Duplex";"....Abra";460;468;1808
"Duplex";"....Apayao";55;57;224
"Duplex";"....Benguet *";206;209;812
"Duplex";"....Ifugao";122;122;496
"Duplex";"....Kalinga";79;79;318
"Duplex";"....Mountain Province";54;56;206
"Duplex";"....City of Baguio";760;808;2854
"Duplex";"..REGION I (ILOCOS REGION)";29276;30643;119511
"Duplex";"....Ilocos Norte";4153;4426;16802
"Duplex";"....Ilocos Sur";2972;3097;12124
"Duplex";"....La Union";4301;4503;17411
"Duplex";"....Pangasinan";17850;18617;73174
"Duplex";"..REGION II (CAGAYAN VALLEY)";20428;21054;79747
"Duplex";"....Batanes";22;22;77
"Duplex";"....Cagayan";6666;6854;26920
"Duplex";"....Isabela";10277;10616;40017
