"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Poster/Flyers";"..Human Health and Social Work Activities Except Public Health Activities";172
"Poster/Flyers";"..Arts, Entertainment and  Recreation";19
"Poster/Flyers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";28
"Youtube Social Media";"ALL INDUSTRIES";879
"Youtube Social Media";"..Agriculture, Forestry and Fishing";12
"Youtube Social Media";"..Mining and Quarrying";..
"Youtube Social Media";"..Manufacturing";130
"Youtube Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";18
"Youtube Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";4
"Youtube Social Media";"..Construction";30
"Youtube Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";232
"Youtube Social Media";"..Transportation and Storage";13
"Youtube Social Media";"..Accommodation and Food Service Activities";133
"Youtube Social Media";"..Information and Communication";21
"Youtube Social Media";"..Financial and Insurance Activities";11
"Youtube Social Media";"..Real Estate Activities";13
"Youtube Social Media";"..Professional, Scientific and Technical Activities";18
"Youtube Social Media";"..Administrative and Support Service Activities";81
"Youtube Social Media";"..Education Except Public Education";114
"Youtube Social Media";"..Human Health and Social Work Activities Except Public Health Activities";34
"Youtube Social Media";"..Arts, Entertainment and  Recreation";2
"Youtube Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";13
"Instagram Social Media";"ALL INDUSTRIES";186
"Instagram Social Media";"..Agriculture, Forestry and Fishing";..
"Instagram Social Media";"..Mining and Quarrying";..
"Instagram Social Media";"..Manufacturing";19
"Instagram Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Instagram Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Instagram Social Media";"..Construction";8
"Instagram Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";54
"Instagram Social Media";"..Transportation and Storage";1
"Instagram Social Media";"..Accommodation and Food Service Activities";42
"Instagram Social Media";"..Information and Communication";5
"Instagram Social Media";"..Financial and Insurance Activities";5
"Instagram Social Media";"..Real Estate Activities";1
"Instagram Social Media";"..Professional, Scientific and Technical Activities";2
"Instagram Social Media";"..Administrative and Support Service Activities";18
"Instagram Social Media";"..Education Except Public Education";11
"Instagram Social Media";"..Human Health and Social Work Activities Except Public Health Activities";14
"Instagram Social Media";"..Arts, Entertainment and  Recreation";..
"Instagram Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";4
"Facebook Social Media";"ALL INDUSTRIES";4017
"Facebook Social Media";"..Agriculture, Forestry and Fishing";116
"Facebook Social Media";"..Mining and Quarrying";21
"Facebook Social Media";"..Manufacturing";642
"Facebook Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";22
"Facebook Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";26
