"Number of Establishments Employing 20 or More Workers Not Aware of ECP by Topic of Interest and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0061B3E9060.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Interest on Skills Training Services (KAGABAY Program)";"..Professional, Scientific and Technical Activities";24
"Interest on Skills Training Services (KAGABAY Program)";"..Administrative and Support Service Activities";50
"Interest on Skills Training Services (KAGABAY Program)";"..Education Except Public Education";184
"Interest on Skills Training Services (KAGABAY Program)";"..Human Health and Social Work Activities Except Public Health Activities";21
"Interest on Skills Training Services (KAGABAY Program)";"..Arts, Entertainment and  Recreation";13
"Interest on Skills Training Services (KAGABAY Program)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";11
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"ALL INDUSTRIES";601
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Agriculture, Forestry and Fishing";13
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Mining and Quarrying";1
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Manufacturing";94
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";20
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Construction";16
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";121
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Transportation and Storage";35
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Accommodation and Food Service Activities";120
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Information and Communication";11
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Financial and Insurance Activities";14
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Real Estate Activities";5
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Professional, Scientific and Technical Activities";10
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Administrative and Support Service Activities";24
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Education Except Public Education";95
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Human Health and Social Work Activities Except Public Health Activities";11
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Arts, Entertainment and  Recreation";5
"Interest on Entrepreneurial Training Services (KAGABAY Program)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";3
"Interest on Assistive Devices Services (KAGABAY Program)";"ALL INDUSTRIES";407
"Interest on Assistive Devices Services (KAGABAY Program)";"..Agriculture, Forestry and Fishing";7
"Interest on Assistive Devices Services (KAGABAY Program)";"..Mining and Quarrying";1
"Interest on Assistive Devices Services (KAGABAY Program)";"..Manufacturing";57
"Interest on Assistive Devices Services (KAGABAY Program)";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Interest on Assistive Devices Services (KAGABAY Program)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";24
"Interest on Assistive Devices Services (KAGABAY Program)";"..Construction";10
