"Number of Establishments Employing 20 or More Workers Not Aware of ECP by Preferred Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0031B3E9030.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Preferred Mode of Learning about ECP";"Major Industry Group";"2017"
"Poster/Flyers";"..Administrative and Support Service Activities";41
"Poster/Flyers";"..Education Except Public Education";71
"Poster/Flyers";"..Human Health and Social Work Activities Except Public Health Activities";9
"Poster/Flyers";"..Arts, Entertainment and  Recreation";3
"Poster/Flyers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Youtube Social Media";"ALL INDUSTRIES";220
"Youtube Social Media";"..Agriculture, Forestry and Fishing";1
"Youtube Social Media";"..Mining and Quarrying";2
"Youtube Social Media";"..Manufacturing";29
"Youtube Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Youtube Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Youtube Social Media";"..Construction";10
"Youtube Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";60
"Youtube Social Media";"..Transportation and Storage";5
"Youtube Social Media";"..Accommodation and Food Service Activities";36
"Youtube Social Media";"..Information and Communication";7
"Youtube Social Media";"..Financial and Insurance Activities";2
"Youtube Social Media";"..Real Estate Activities";0
"Youtube Social Media";"..Professional, Scientific and Technical Activities";8
"Youtube Social Media";"..Administrative and Support Service Activities";8
"Youtube Social Media";"..Education Except Public Education";42
"Youtube Social Media";"..Human Health and Social Work Activities Except Public Health Activities";8
"Youtube Social Media";"..Arts, Entertainment and  Recreation";1
"Youtube Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Instagram Social Media";"ALL INDUSTRIES";104
"Instagram Social Media";"..Agriculture, Forestry and Fishing";..
"Instagram Social Media";"..Mining and Quarrying";2
"Instagram Social Media";"..Manufacturing";12
"Instagram Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Instagram Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Instagram Social Media";"..Construction";4
"Instagram Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";23
"Instagram Social Media";"..Transportation and Storage";3
"Instagram Social Media";"..Accommodation and Food Service Activities";41
"Instagram Social Media";"..Information and Communication";4
"Instagram Social Media";"..Financial and Insurance Activities";2
"Instagram Social Media";"..Real Estate Activities";..
"Instagram Social Media";"..Professional, Scientific and Technical Activities";4
"Instagram Social Media";"..Administrative and Support Service Activities";2
"Instagram Social Media";"..Education Except Public Education";5
"Instagram Social Media";"..Human Health and Social Work Activities Except Public Health Activities";..
"Instagram Social Media";"..Arts, Entertainment and  Recreation";..
"Instagram Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Facebook Social Media";"ALL INDUSTRIES";867
"Facebook Social Media";"..Agriculture, Forestry and Fishing";22
"Facebook Social Media";"..Mining and Quarrying";2
"Facebook Social Media";"..Manufacturing";110
"Facebook Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Facebook Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";21
"Facebook Social Media";"..Construction";20
"Facebook Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";192
"Facebook Social Media";"..Transportation and Storage";19
"Facebook Social Media";"..Accommodation and Food Service Activities";158
"Facebook Social Media";"..Information and Communication";20
"Facebook Social Media";"..Financial and Insurance Activities";45
"Facebook Social Media";"..Real Estate Activities";19
"Facebook Social Media";"..Professional, Scientific and Technical Activities";33
