"Percent Distribution of Bonuses and Gratuities in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__LCE/2001B3GL030.px/table/tableViewLayout1/?rxid=f1d2d894-c545-48b7-9fb9-f7e54e7069d3"
"Major Industry Group";"Bonuses and Gratuities";"2013";"2019"
"..Construction";"Total Amount";1915342;5009643
"..Construction";"Percent";100.0;100.0
"..Construction";"..Year-End, Seasonal and Other One-Time Bonuses";98.6;97.5
"..Construction";"..Profit Sharing Bonuses";0.2;0.4
"..Construction";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";1.2;2.1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Amount";10934399;20029784
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Percent";100.0;100.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Year-End, Seasonal and Other One-Time Bonuses";95.1;80.9
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Profit Sharing Bonuses";2.2;13.3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.7;5.8
"..Transportation and Storage";"Total Amount";2280999;3496083
"..Transportation and Storage";"Percent";100.0;100.0
"..Transportation and Storage";"..Year-End, Seasonal and Other One-Time Bonuses";95.2;99.2
"..Transportation and Storage";"..Profit Sharing Bonuses";2.1;0.4
"..Transportation and Storage";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.7;0.5
"..Accommodation and Food Service Activities";"Total Amount";2892244;3996397
"..Accommodation and Food Service Activities";"Percent";100.0;100.0
"..Accommodation and Food Service Activities";"..Year-End, Seasonal and Other One-Time Bonuses";98.0;96.1
"..Accommodation and Food Service Activities";"..Profit Sharing Bonuses";0.1;0.8
"..Accommodation and Food Service Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";1.9;3.1
"..Information and Communications";"Total Amount";9110033;7007255
"..Information and Communications";"Percent";100.0;100.0
"..Information and Communications";"..Year-End, Seasonal and Other One-Time Bonuses";94.6;89.1
"..Information and Communications";"..Profit Sharing Bonuses";1.1;4.9
"..Information and Communications";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";4.4;6.1
"..Financial and Insurance Activities";"Total Amount";16217469;22376051
"..Financial and Insurance Activities";"Percent";100.0;100.0
"..Financial and Insurance Activities";"..Year-End, Seasonal and Other One-Time Bonuses";88.7;92.1
"..Financial and Insurance Activities";"..Profit Sharing Bonuses";8.6;6.1
"..Financial and Insurance Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.8;1.8
"..Real Estate Activities";"Total Amount";1640365;2152236
"..Real Estate Activities";"Percent";100.0;100.0
"..Real Estate Activities";"..Year-End, Seasonal and Other One-Time Bonuses";98.5;97.3
"..Real Estate Activities";"..Profit Sharing Bonuses";0.7;0.0
"..Real Estate Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";0.8;2.7
"..Professional, Scientific, and Technical Activities";"Total Amount";4546955;4858810
"..Professional, Scientific, and Technical Activities";"Percent";100.0;100.0
"..Professional, Scientific, and Technical Activities";"..Year-End, Seasonal and Other One-Time Bonuses";92.0;90.0
"..Professional, Scientific, and Technical Activities";"..Profit Sharing Bonuses";6.0;9.2
"..Professional, Scientific, and Technical Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.0;0.8
"..Administrative and Support Service Activities";"Total Amount";15867937;35687449
"..Administrative and Support Service Activities";"Percent";100.0;100.0
"..Administrative and Support Service Activities";"..Year-End, Seasonal and Other One-Time Bonuses";96.5;97.9
"..Administrative and Support Service Activities";"..Profit Sharing Bonuses";1.3;0.9
"..Administrative and Support Service Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.2;1.2
"..Education Except Public Education";"Total Amount";5237800;6978956
"..Education Except Public Education";"Percent";100.0;100.0
"..Education Except Public Education";"..Year-End, Seasonal and Other One-Time Bonuses";95.1;94.9
"..Education Except Public Education";"..Profit Sharing Bonuses";0.0;0.4
