"Number of Households by Type of Building, Tenure Status of the Housing Unit/Lot, and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0061A6DTSH0.px/table/tableViewLayout1/?rxid=1e078637-ce19-499c-bf41-a4d1a933957b"
"Tenure Status of the Housing Unit/Lot";"Geographic Location";"All Types of Building";"Single House";"Duplex";"Apartment/ accessoria/rowhouse";"Condominium/ condotel";"Other multi-unit residential";"Commercial/ industrial/agricultural";"Institutional living quarter";"Other types of building";"Not Reported"
"Total";"PHILIPPINES /a";26376522;23086355;785663;1713666;173806;565763;45670;3644;1869;86
"Total";"..NATIONAL CAPITAL REGION (NCR)";3494685;2341016;140826;506241;162912;326385;16110;722;436;37
"Total";"....City of Manila";483508;277663;14503;41922;24097;122986;1869;209;247;12
"Total";"....City of Mandaluyong";116513;60997;3003;8720;22652;20693;417;23;8;0
"Total";"....City of Marikina";104406;82978;5092;13256;218;2481;356;23;2;0
"Total";"....City of Pasig";212866;124121;12265;41687;12054;22045;671;21;2;0
"Total";"....Quezon City";738367;554889;27601;98250;20807;32094;4495;173;37;21
"Total";"....City of San Juan";31415;16664;851;4234;3557;5897;190;7;15;0
"Total";"....City of Caloocan";404137;314759;18937;51129;1093;16535;1639;38;7;0
"Total";"....City of Malabon";94232;82935;2055;6442;68;2138;544;6;44;0
"Total";"....City of Navotas";63061;53708;1624;3849;0;3609;250;9;10;2
"Total";"....City of Valenzuela";192983;123616;9090;48998;1011;7600;2605;60;1;2
"Total";"....City of Las Piñas";156756;123735;7735;18448;1131;5063;602;37;5;0
"Total";"....City of Makati";186238;73564;5080;30757;47532;28882;381;26;16;0
"Total";"....City of Muntinlupa";138176;98562;6122;27442;1835;3969;229;5;12;0
"Total";"....City of Parañaque";182109;140583;5734;20751;5924;8228;834;46;9;0
"Total";"....Pasay City";127290;65408;3934;34291;15957;6922;753;12;13;0
"Total";"....City of Taguig";246790;135188;16169;53230;4976;36927;266;26;8;0
"Total";"....Pateros";15838;11646;1031;2835;0;316;9;1;0;0
"Total";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";439149;409770;1799;24998;1103;484;874;73;47;1
"Total";"....Abra";58954;58304;468;76;0;73;21;11;0;1
"Total";"....Apayao";28861;28743;57;5;0;14;35;1;6;0
"Total";"....Benguet *";116690;108394;209;7722;0;59;260;14;32;0
"Total";"....Ifugao";48756;48437;122;97;0;75;25;0;0;0
"Total";"....Kalinga";48077;47894;79;35;0;45;20;4;0;0
"Total";"....Mountain Province";37601;37210;56;194;0;113;16;11;1;0
"Total";"....City of Baguio";100210;80788;808;16869;1103;105;497;32;8;0
"Total";"..REGION I (ILOCOS REGION)";1306220;1254980;30643;10913;10;8341;1163;117;50;3
"Total";"....Ilocos Norte";152970;145536;4426;1562;7;1218;200;15;6;0
"Total";"....Ilocos Sur";172042;167290;3097;731;0;770;137;14;3;0
"Total";"....La Union";205028;196408;4503;2816;0;1094;152;50;5;0
"Total";"....Pangasinan";776180;745746;18617;5804;3;5259;674;38;36;3
"Total";"..REGION II (CAGAYAN VALLEY)";907344;872355;21054;7407;0;5260;1192;64;10;2
"Total";"....Batanes";5546;5505;22;0;0;9;4;5;1;0
"Total";"....Cagayan";301509;290801;6854;2005;0;1453;368;28;0;0
"Total";"....Isabela";422569;405502;10616;3282;0;2754;392;21;0;2
"Total";"....Nueva Vizcaya";128175;121758;3096;2082;0;911;311;10;7;0
"Total";"....Quirino";49545;48789;466;38;0;133;117;0;2;0
"Total";"..REGION III (CENTRAL LUZON)";3039882;2585593;135355;255299;360;57562;5008;352;345;8
"Total";"....Aurora";57036;55815;641;396;0;92;72;16;4;0
"Total";"....Bataan";208879;180934;10618;14436;0;2574;285;24;6;2
"Total";"....Bulacan";920457;671305;50233;176828;229;19468;1989;156;247;2
"Total";"....Nueva Ecija";572551;539001;19223;7468;3;6023;780;46;7;0
"Total";"....Pampanga *";573763;510491;22941;25539;4;13980;750;46;10;2
"Total";"....Tarlac";359534;335164;13770;5202;39;4893;406;22;36;2
"Total";"....Zambales *";164922;151166;7334;3768;0;2480;132;25;17;0
"Total";"....City of Angeles";116318;96350;5875;9245;7;4477;339;9;16;0
"Total";"....City of Olongapo";66422;45367;4720;12417;78;3575;255;8;2;0
"Total";"..REGION IV-A (CALABARZON)";4061996;3019333;255284;708726;4640;67007;6211;333;449;13
"Total";"....Batangas";715915;610659;34470;59521;7;10046;1072;71;67;2
"Total";"....Cavite";1095917;662914;105024;300282;1702;23232;2316;96;344;7
"Total";"....Laguna";915250;616880;62945;217513;345;16554;939;51;21;2
"Total";"....Quezon *";483655;454656;14820;9796;0;3685;656;39;3;0
"Total";"....Rizal";784360;615189;35231;117454;2586;12708;1103;73;14;2
"Total";"....City of Lucena";66899;59035;2794;4160;0;782;125;3;0;0
"Total";"..MIMAROPA REGION";792789;765068;11099;11537;12;3878;1037;154;4;0
"Total";"....Marinduque";60547;59612;532;217;0;141;39;5;1;0
"Total";"....Occidental Mindoro";126627;123182;1878;851;0;631;77;7;1;0
"Total";"....Oriental Mindoro";215071;205282;3994;4851;0;581;331;31;1;0
"Total";"....Palawan *";230809;226333;1534;1809;0;711;372;50;0;0
"Total";"....Romblon";77635;75828;1044;477;0;243;31;11;1;0
"Total";"....City of Puerto Princesa";82100;74831;2117;3332;12;1571;187;50;0;0
"Total";"..REGION V (BICOL REGION)";1364824;1320904;22859;13043;11;6176;1535;243;53;0
"Total";"....Albay";311416;300866;6425;1962;11;1769;274;102;7;0
"Total";"....Camarines Norte";144139;138784;2433;2171;0;487;245;9;10;0
"Total";"....Camarines Sur";455217;434828;9502;7304;0;2890;626;46;21;0
"Total";"....Catanduanes";60336;59625;348;157;0;60;79;57;10;0
"Total";"....Masbate";206278;203737;1455;493;0;441;138;11;3;0
"Total";"....Sorsogon";187438;183064;2696;956;0;529;173;18;2;0
"Total";"..REGION VI (WESTERN VISAYAS)";1939744;1870861;25595;32451;75;8459;2009;231;63;0
"Total";"....Aklan";151373;147355;1501;1896;3;325;252;40;1;0
"Total";"....Antique";147681;145081;1566;585;1;308;123;15;2;0
"Total";"....Capiz";202026;194578;2886;3863;2;570;108;10;9;0
"Total";"....Guimaras";47474;47309;51;37;0;17;57;1;2;0
"Total";"....Iloilo *";506167;488974;5989;8671;4;2155;288;57;29;0
"Total";"....Negros Occidental *";637910;616284;7825;10803;0;2588;375;35;0;0
"Total";"....City of Bacolod";142813;135411;3209;2489;10;1250;394;44;6;0
"Total";"....City of Iloilo";104300;95869;2568;4107;55;1246;412;29;14;0
"Total";"..REGION VII (CENTRAL VISAYAS)";1965256;1836040;35145;57755;3762;30097;2120;262;73;2
"Total";"....Bohol";321983;316631;2611;1192;0;1195;270;67;17;0
"Total";"....Cebu *";799368;756020;15456;19522;5;7660;624;61;20;0
"Total";"....Negros Oriental";347927;339636;3483;2296;12;2205;239;42;12;2
"Total";"....Siquijor";25803;25667;60;28;0;10;35;2;1;0
"Total";"....City of Cebu";237797;209632;6668;11506;2345;7056;500;75;15;0
"Total";"....City of Lapu-Lapu (Opon)";129628;102457;4183;14943;277;7607;149;11;1;0
"Total";"....City of Mandaue";102750;85997;2684;8268;1123;4364;303;4;7;0
"Total";"..REGION VIII (EASTERN VISAYAS)";1081813;1036029;17681;22466;1;4612;888;97;39;0
"Total";"....Biliran";43049;41795;159;1008;0;35;49;3;0;0
"Total";"....Eastern Samar";115766;113070;1229;1049;0;362;47;5;4;0
"Total";"....Leyte *";443328;425336;7395;8082;1;2153;307;35;19;0
"Total";"....Northern Samar";139842;137901;1353;178;0;305;84;20;1;0
"Total";"....Samar (Western Samar)";181732;175217;3524;1892;0;996;84;15;4;0
"Total";"....Southern Leyte";100860;97051;2713;643;0;323;113;12;5;0
"Total";"....City of Tacloban";57236;45659;1308;9614;0;438;204;7;6;0
"Total";"..REGION IX (ZAMBOANGA PENINSULA)";895285;865994;13604;7565;0;6909;1032;145;31;5
"Total";"....Zamboanga del Norte";247968;242691;2341;2304;0;448;160;24;0;0
"Total";"....Zamboanga del Sur *";239224;236609;1072;580;0;649;250;53;11;0
"Total";"....Zamboanga Sibugay";154664;150481;2556;213;0;1047;332;34;1;0
"Total";"....City of Isabela **";26646;25772;518;101;0;232;19;1;3;0
"Total";"....City of Zamboanga";226783;210441;7117;4367;0;4533;271;33;16;5
"Total";"..REGION X (NORTHERN MINDANAO)";1197420;1144110;22094;15681;99;13492;1754;160;25;5
"Total";"....Bukidnon";357098;349505;3887;1259;1;1821;558;57;9;1
"Total";"....Camiguin";22281;22049;145;38;0;19;26;4;0;0
"Total";"....Lanao del Norte *";161392;157066;2975;311;0;834;193;13;0;0
"Total";"....Misamis Occidental";149125;144001;2462;1606;0;940;100;11;5;0
"Total";"....Misamis Oriental *";230203;222940;4088;932;0;1983;228;25;5;2
"Total";"....City of Cagayan de Oro";190099;171350;5002;7290;98;5843;470;41;5;0
"Total";"....City of Iligan";87222;77199;3535;4245;0;2052;179;9;1;2
"Total";"..REGION XI (DAVAO REGION)";1336312;1271608;27640;16363;808;17178;2275;344;90;6
"Total";"....Davao de Oro (Compostela Valley)";188900;175811;10033;900;4;1830;285;29;6;2
"Total";"....Davao del Norte";271649;258436;4553;4421;7;3767;389;68;8;0
"Total";"....Davao del Sur *";181436;177480;1447;1432;0;901;147;14;15;0
"Total";"....Davao Occidental";78182;78090;23;4;0;23;27;15;0;0
"Total";"....Davao Oriental";140059;136419;2630;176;0;716;82;33;1;2
"Total";"....City of Davao";476086;445372;8954;9430;797;9941;1345;185;60;2
"Total";"..REGION XII (SOCCSKSARGEN)";1063624;1030896;10437;17349;0;3560;1161;123;96;2
"Total";"....Cotabato (North Cotabato)";306710;301435;2625;1191;0;1022;341;23;73;0
"Total";"....Sarangani";133863;132021;1131;225;0;422;55;9;0;0
"Total";"....South Cotabato *";244981;238735;1745;3510;0;697;282;6;6;0
"Total";"....Sultan Kudarat";202730;199455;1482;881;0;602;230;77;1;2
"Total";"....City of General Santos (Dadiangas)";175340;159250;3454;11542;0;817;253;8;16;0
"Total";"..REGION XIII (CARAGA)";660813;643541;8645;4432;0;3307;731;130;27;0
"Total";"....Agusan del Norte *";90991;88306;1647;443;0;529;64;2;0;0
"Total";"....Agusan del Sur";173953;171385;1373;431;0;537;176;39;12;0
"Total";"....Dinagat Islands";29391;29137;165;8;0;55;24;2;0;0
"Total";"....Surigao del Norte";126542;123214;1565;1269;0;379;103;10;2;0
"Total";"....Surigao del Sur";150535;146793;2258;360;0;972;133;13;6;0
"Total";"....City of Butuan";89401;84706;1637;1921;0;835;231;64;7;0
"Total";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";829366;818257;5903;1440;13;3056;570;94;31;2
"Total";"....Basilan";73419;73084;194;38;3;82;10;5;3;0
"Total";"....Lanao del Sur";181511;177392;2292;267;0;1424;92;21;23;0
"Total";"....Maguindanao";287283;283047;1734;1073;7;1004;376;37;5;0
"Total";"....Sulu";164729;162882;1385;29;0;362;45;24;0;2
"Total";"....Tawi-Tawi";74757;74547;81;33;3;49;38;6;0;0
"Total";"....Eight (8) Area Clusters ***";47667;47305;217;0;0;135;9;1;0;0
"Own or owner-like possession of the house and lot";"PHILIPPINES /a";15104248;13795066;392414;655772;44809;205117;10105;932;0;33
"Own or owner-like possession of the house and lot";"..NATIONAL CAPITAL REGION (NCR)";1449091;1145637;56673;112478;38793;93373;2002;122;0;13
"Own or owner-like possession of the house and lot";"....City of Manila";171345;119393;5653;7348;8041;30644;245;11;0;10
"Own or owner-like possession of the house and lot";"....City of Mandaluyong";41516;26520;1175;1577;6775;5421;45;3;0;0
"Own or owner-like possession of the house and lot";"....City of Marikina";60869;53304;2252;3834;121;1255;96;7;0;0
"Own or owner-like possession of the house and lot";"....City of Pasig";96751;66771;5233;11553;4489;8617;81;7;0;0
"Own or owner-like possession of the house and lot";"....Quezon City";281842;229198;10749;23948;7712;9758;453;23;0;1
"Own or owner-like possession of the house and lot";"....City of San Juan";10593;6630;383;970;870;1708;28;4;0;0
"Own or owner-like possession of the house and lot";"....City of Caloocan";221439;189731;9051;14024;474;7836;309;14;0;0
"Own or owner-like possession of the house and lot";"....City of Malabon";36359;33960;599;770;40;905;82;3;0;0
"Own or owner-like possession of the house and lot";"....City of Navotas";30916;28265;684;686;0;1251;26;2;0;2
"Own or owner-like possession of the house and lot";"....City of Valenzuela";74243;63876;2089;5987;706;1334;242;9;0;0
"Own or owner-like possession of the house and lot";"....City of Las Piñas";80396;70312;3253;4051;618;2055;95;12;0;0
"Own or owner-like possession of the house and lot";"....City of Makati";51337;34851;1966;7650;1787;5021;57;5;0;0
"Own or owner-like possession of the house and lot";"....City of Muntinlupa";53581;43825;2350;5330;862;1192;19;3;0;0
"Own or owner-like possession of the house and lot";"....City of Parañaque";80975;69905;2019;4150;2274;2500;118;9;0;0
"Own or owner-like possession of the house and lot";"....Pasay City";35128;25364;1182;5624;1509;1381;68;0;0;0
"Own or owner-like possession of the house and lot";"....City of Taguig";112706;75853;7568;14363;2515;12362;35;10;0;0
"Own or owner-like possession of the house and lot";"....Pateros";9095;7879;467;613;0;133;3;0;0;0
"Own or owner-like possession of the house and lot";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";295248;290864;868;3008;174;162;160;12;0;0
"Own or owner-like possession of the house and lot";"....Abra";48586;48156;353;18;0;49;7;3;0;0
"Own or owner-like possession of the house and lot";"....Apayao";20952;20892;40;0;0;5;15;0;0;0
"Own or owner-like possession of the house and lot";"....Benguet *";73163;72206;53;840;0;15;49;0;0;0
"Own or owner-like possession of the house and lot";"....Ifugao";38701;38551;73;32;0;35;10;0;0;0
"Own or owner-like possession of the house and lot";"....Kalinga";39860;39775;53;5;0;16;10;1;0;0
"Own or owner-like possession of the house and lot";"....Mountain Province";30771;30685;29;32;0;15;9;1;0;0
"Own or owner-like possession of the house and lot";"....City of Baguio";43215;40599;267;2081;174;27;60;7;0;0
"Own or owner-like possession of the house and lot";"..REGION I (ILOCOS REGION)";934700;908886;18344;2636;7;4394;377;56;0;0
"Own or owner-like possession of the house and lot";"....Ilocos Norte";110874;107164;2696;324;5;605;75;5;0;0
"Own or owner-like possession of the house and lot";"....Ilocos Sur";135911;132792;2241;372;0;438;58;10;0;0
"Own or owner-like possession of the house and lot";"....La Union";141679;138120;2289;655;0;534;59;22;0;0
"Own or owner-like possession of the house and lot";"....Pangasinan";546236;530810;11118;1285;2;2817;185;19;0;0
"Own or owner-like possession of the house and lot";"..REGION II (CAGAYAN VALLEY)";686105;666825;13734;2083;0;2950;487;24;0;2
"Own or owner-like possession of the house and lot";"....Batanes";3734;3715;16;0;0;0;3;0;0;0
"Own or owner-like possession of the house and lot";"....Cagayan";224838;218516;4661;525;0;939;180;17;0;0
"Own or owner-like possession of the house and lot";"....Isabela";323811;314008;6986;1133;0;1523;154;5;0;2
"Own or owner-like possession of the house and lot";"....Nueva Vizcaya";94197;91523;1757;417;0;416;82;2;0;0
"Own or owner-like possession of the house and lot";"....Quirino";39525;39063;314;8;0;72;68;0;0;0
"Own or owner-like possession of the house and lot";"..REGION III (CENTRAL LUZON)";2092752;1864535;79015;114249;219;33365;1249;116;0;4
"Own or owner-like possession of the house and lot";"....Aurora";35125;34595;344;113;0;46;17;10;0;0
"Own or owner-like possession of the house and lot";"....Bataan";127163;117660;5232;2885;0;1312;63;11;0;0
"Own or owner-like possession of the house and lot";"....Bulacan";596084;469352;27389;86808;135;12054;311;35;0;0
"Own or owner-like possession of the house and lot";"....Nueva Ecija";399632;382597;11572;1761;0;3425;261;16;0;0
"Own or owner-like possession of the house and lot";"....Pampanga *";459432;420873;16090;13418;4;8780;246;19;0;2
"Own or owner-like possession of the house and lot";"....Tarlac";261160;247647;8725;1801;14;2814;148;9;0;2
"Own or owner-like possession of the house and lot";"....Zambales *";108502;101380;4338;1448;0;1268;55;13;0;0
"Own or owner-like possession of the house and lot";"....City of Angeles";72202;63814;3161;2985;4;2161;75;2;0;0
"Own or owner-like possession of the house and lot";"....City of Olongapo";33452;26617;2164;3030;62;1505;73;1;0;0
"Own or owner-like possession of the house and lot";"..REGION IV-A (CALABARZON)";2408807;1896963;130089;345911;2658;31849;1231;102;0;4
"Own or owner-like possession of the house and lot";"....Batangas";466772;424009;16848;21299;4;4367;217;28;0;0
"Own or owner-like possession of the house and lot";"....Cavite";652677;423074;55787;162665;621;10156;344;29;0;1
"Own or owner-like possession of the house and lot";"....Laguna";539821;396373;32439;101714;224;8889;165;15;0;2
"Own or owner-like possession of the house and lot";"....Quezon *";230879;219873;6160;3073;0;1542;224;7;0;0
"Own or owner-like possession of the house and lot";"....Rizal";486555;403964;17813;56123;1809;6596;227;22;0;1
"Own or owner-like possession of the house and lot";"....City of Lucena";32103;29670;1042;1037;0;299;54;1;0;0
"Own or owner-like possession of the house and lot";"..MIMAROPA REGION";463433;454205;4967;2616;0;1243;363;39;0;0
"Own or owner-like possession of the house and lot";"....Marinduque";36205;35819;269;40;0;63;12;2;0;0
"Own or owner-like possession of the house and lot";"....Occidental Mindoro";84057;82683;936;160;0;247;30;1;0;0
"Own or owner-like possession of the house and lot";"....Oriental Mindoro";119821;115882;1789;1771;0;257;109;13;0;0
"Own or owner-like possession of the house and lot";"....Palawan *";137347;136096;682;180;0;239;139;11;0;0
"Own or owner-like possession of the house and lot";"....Romblon";45987;45147;574;155;0;97;12;2;0;0
"Own or owner-like possession of the house and lot";"....City of Puerto Princesa";40016;38578;717;310;0;340;61;10;0;0
"Own or owner-like possession of the house and lot";"..REGION V (BICOL REGION)";714801;695918;11147;4367;0;2753;537;79;0;0
"Own or owner-like possession of the house and lot";"....Albay";174657;169622;3578;457;0;864;119;17;0;0
"Own or owner-like possession of the house and lot";"....Camarines Norte";71821;70006;997;553;0;181;78;6;0;0
"Own or owner-like possession of the house and lot";"....Camarines Sur";251747;242385;4773;3017;0;1355;198;19;0;0
"Own or owner-like possession of the house and lot";"....Catanduanes";37806;37458;200;49;0;38;38;23;0;0
"Own or owner-like possession of the house and lot";"....Masbate";91105;90278;541;74;0;154;54;4;0;0
"Own or owner-like possession of the house and lot";"....Sorsogon";87665;86169;1058;217;0;161;50;10;0;0
"Own or owner-like possession of the house and lot";"..REGION VI (WESTERN VISAYAS)";933427;896466;11107;21404;37;3613;721;79;0;0
"Own or owner-like possession of the house and lot";"....Aklan";95301;93036;821;1132;3;167;122;20;0;0
"Own or owner-like possession of the house and lot";"....Antique";92627;91029;1013;372;0;153;48;12;0;0
"Own or owner-like possession of the house and lot";"....Capiz";89871;85863;1214;2507;0;244;39;4;0;0
"Own or owner-like possession of the house and lot";"....Guimaras";26844;26783;17;5;0;6;33;0;0;0
"Own or owner-like possession of the house and lot";"....Iloilo *";243358;232679;3008;6354;1;1193;101;22;0;0
"Own or owner-like possession of the house and lot";"....Negros Occidental *";261337;249482;2423;8416;0;887;116;13;0;0
"Own or owner-like possession of the house and lot";"....City of Bacolod";74766;72034;1671;523;6;402;127;3;0;0
"Own or owner-like possession of the house and lot";"....City of Iloilo";49323;45560;940;2095;27;561;135;5;0;0
"Own or owner-like possession of the house and lot";"..REGION VII (CENTRAL VISAYAS)";1151054;1101114;15523;18790;2377;12597;570;82;0;1
"Own or owner-like possession of the house and lot";"....Bohol";233671;231473;1478;166;0;421;105;28;0;0
"Own or owner-like possession of the house and lot";"....Cebu *";470871;451865;6930;8441;1;3451;158;25;0;0
"Own or owner-like possession of the house and lot";"....Negros Oriental";202164;198730;1530;928;5;869;88;13;0;1
"Own or owner-like possession of the house and lot";"....Siquijor";20471;20411;41;1;0;7;11;0;0;0
"Own or owner-like possession of the house and lot";"....City of Cebu";119932;110810;2690;2373;1482;2424;142;11;0;0
"Own or owner-like possession of the house and lot";"....City of Lapu-Lapu (Opon)";64612;52911;1845;5596;183;4041;32;4;0;0
"Own or owner-like possession of the house and lot";"....City of Mandaue";39333;34914;1009;1285;706;1384;34;1;0;0
"Own or owner-like possession of the house and lot";"..REGION VIII (EASTERN VISAYAS)";545137;520107;8639;14224;1;1831;312;23;0;0
"Own or owner-like possession of the house and lot";"....Biliran";20962;20229;57;656;0;11;9;0;0;0
"Own or owner-like possession of the house and lot";"....Eastern Samar";73522;71897;690;703;0;216;14;2;0;0
"Own or owner-like possession of the house and lot";"....Leyte *";217486;207952;3563;4998;1;866;100;6;0;0
"Own or owner-like possession of the house and lot";"....Northern Samar";73862;72983;654;60;0;132;31;2;0;0
"Own or owner-like possession of the house and lot";"....Samar (Western Samar)";77431;74494;1507;1078;0;303;40;9;0;0
"Own or owner-like possession of the house and lot";"....Southern Leyte";53211;51466;1432;146;0;142;21;4;0;0
"Own or owner-like possession of the house and lot";"....City of Tacloban";28663;21086;736;6583;0;161;97;0;0;0
"Own or owner-like possession of the house and lot";"..REGION IX (ZAMBOANGA PENINSULA)";462365;452548;5920;1174;0;2285;395;40;0;3
"Own or owner-like possession of the house and lot";"....Zamboanga del Norte";133428;131686;1116;406;0;151;67;2;0;0
"Own or owner-like possession of the house and lot";"....Zamboanga del Sur *";126612;125768;465;82;0;173;97;27;0;0
"Own or owner-like possession of the house and lot";"....Zamboanga Sibugay";69848;68572;876;34;0;254;105;7;0;0
"Own or owner-like possession of the house and lot";"....City of Isabela **";16587;16215;283;0;0;78;11;0;0;0
"Own or owner-like possession of the house and lot";"....City of Zamboanga";115890;110307;3180;652;0;1629;115;4;0;3
"Own or owner-like possession of the house and lot";"..REGION X (NORTHERN MINDANAO)";659753;637431;9903;6165;50;5639;527;36;0;2
"Own or owner-like possession of the house and lot";"....Bukidnon";232825;230028;1830;223;1;566;167;10;0;0
"Own or owner-like possession of the house and lot";"....Camiguin";12713;12610;74;7;0;13;7;2;0;0
"Own or owner-like possession of the house and lot";"....Lanao del Norte *";65421;63955;1065;34;0;287;77;3;0;0
"Own or owner-like possession of the house and lot";"....Misamis Occidental";79148;77124;1142;485;0;362;32;3;0;0
"Own or owner-like possession of the house and lot";"....Misamis Oriental *";126712;123836;1969;153;0;690;57;7;0;0
"Own or owner-like possession of the house and lot";"....City of Cagayan de Oro";103758;94196;2729;3580;49;3069;125;10;0;0
"Own or owner-like possession of the house and lot";"....City of Iligan";39176;35682;1094;1683;0;652;62;1;0;2
"Own or owner-like possession of the house and lot";"..REGION XI (DAVAO REGION)";785382;761696;15350;2439;486;4901;462;46;0;2
"Own or owner-like possession of the house and lot";"....Davao de Oro (Compostela Valley)";114202;105825;7587;135;1;573;75;6;0;0
"Own or owner-like possession of the house and lot";"....Davao del Norte";163772;160259;1840;819;2;743;99;10;0;0
"Own or owner-like possession of the house and lot";"....Davao del Sur *";113284;112145;611;158;0;318;48;4;0;0
"Own or owner-like possession of the house and lot";"....Davao Occidental";40065;40043;12;1;0;4;5;0;0;0
"Own or owner-like possession of the house and lot";"....Davao Oriental";72702;70851;1522;31;0;261;31;6;0;0
"Own or owner-like possession of the house and lot";"....City of Davao";281357;272573;3778;1295;483;3002;204;20;0;2
"Own or owner-like possession of the house and lot";"..REGION XII (SOCCSKSARGEN)";661234;652738;4491;2448;0;1206;328;23;0;0
"Own or owner-like possession of the house and lot";"....Cotabato (North Cotabato)";208479;206265;1471;209;0;424;99;11;0;0
"Own or owner-like possession of the house and lot";"....Sarangani";66992;66224;505;20;0;226;15;2;0;0
"Own or owner-like possession of the house and lot";"....South Cotabato *";169895;168364;771;498;0;159;102;1;0;0
"Own or owner-like possession of the house and lot";"....Sultan Kudarat";124892;123834;606;220;0;156;69;7;0;0
"Own or owner-like possession of the house and lot";"....City of General Santos (Dadiangas)";90976;88051;1138;1501;0;241;43;2;0;0
"Own or owner-like possession of the house and lot";"..REGION XIII (CARAGA)";333717;327615;3473;1252;0;1140;210;27;0;0
"Own or owner-like possession of the house and lot";"....Agusan del Norte *";43200;42272;655;75;0;187;11;0;0;0
"Own or owner-like possession of the house and lot";"....Agusan del Sur";90047;89222;518;63;0;173;63;8;0;0
"Own or owner-like possession of the house and lot";"....Dinagat Islands";19707;19561;101;0;0;31;13;1;0;0
"Own or owner-like possession of the house and lot";"....Surigao del Norte";68182;67105;669;207;0;169;26;6;0;0
"Own or owner-like possession of the house and lot";"....Surigao del Sur";69896;68707;818;53;0;273;40;5;0;0
"Own or owner-like possession of the house and lot";"....City of Butuan";42685;40748;712;854;0;307;57;7;0;0
"Own or owner-like possession of the house and lot";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";527242;521518;3171;528;7;1816;174;26;0;2
"Own or owner-like possession of the house and lot";"....Basilan";38939;38743;123;15;1;48;5;4;0;0
"Own or owner-like possession of the house and lot";"....Lanao del Sur";140779;137723;1756;169;0;1074;51;6;0;0
"Own or owner-like possession of the house and lot";"....Maguindanao";173952;172179;872;336;3;474;84;4;0;0
"Own or owner-like possession of the house and lot";"....Sulu";89840;89467;225;7;0;110;20;9;0;2
"Own or owner-like possession of the house and lot";"....Tawi-Tawi";51292;51193;50;1;3;29;14;2;0;0
"Own or owner-like possession of the house and lot";"....Eight (8) Area Clusters ***";32440;32213;145;0;0;81;0;1;0;0
"Own house rent lot";"PHILIPPINES /a";1028739;923858;29952;52721;0;20562;1549;91;0;6
"Own house rent lot";"..NATIONAL CAPITAL REGION (NCR)";120119;91103;5422;13023;0;10305;249;14;0;3
"Own house rent lot";"....City of Manila";16500;11396;426;867;0;3754;52;5;0;0
"Own house rent lot";"....City of Mandaluyong";1211;754;57;75;0;310;15;0;0;0
"Own house rent lot";"....City of Marikina";3234;2488;226;362;0;150;7;1;0;0
"Own house rent lot";"....City of Pasig";12496;8298;699;1941;0;1539;19;0;0;0
"Own house rent lot";"....Quezon City";18072;14311;788;1998;0;912;58;2;0;3
"Own house rent lot";"....City of San Juan";779;576;27;79;0;95;2;0;0;0
"Own house rent lot";"....City of Caloocan";19095;15480;989;1800;0;793;33;0;0;0
"Own house rent lot";"....City of Malabon";4026;3855;36;101;0;30;4;0;0;0
"Own house rent lot";"....City of Navotas";4069;3754;86;63;0;162;1;3;0;0
"Own house rent lot";"....City of Valenzuela";5930;4601;238;893;0;185;11;2;0;0
"Own house rent lot";"....City of Las Piñas";5404;4596;278;356;0;168;6;0;0;0
"Own house rent lot";"....City of Makati";2973;1773;136;716;0;341;7;0;0;0
"Own house rent lot";"....City of Muntinlupa";6595;5479;298;738;0;78;2;0;0;0
"Own house rent lot";"....City of Parañaque";6327;5114;281;509;0;415;8;0;0;0
"Own house rent lot";"....Pasay City";3661;2560;163;619;0;311;8;0;0;0
"Own house rent lot";"....City of Taguig";8556;5119;604;1783;0;1035;15;0;0;0
"Own house rent lot";"....Pateros";1191;949;90;123;0;27;1;1;0;0
"Own house rent lot";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";4322;4100;20;185;0;1;16;0;0;0
"Own house rent lot";"....Abra";523;510;12;1;0;0;0;0;0;0
"Own house rent lot";"....Apayao";273;269;0;0;0;0;4;0;0;0
"Own house rent lot";"....Benguet *";1292;1198;3;90;0;0;1;0;0;0
"Own house rent lot";"....Ifugao";357;355;0;0;0;0;2;0;0;0
"Own house rent lot";"....Kalinga";593;591;0;1;0;1;0;0;0;0
"Own house rent lot";"....Mountain Province";336;336;0;0;0;0;0;0;0;0
"Own house rent lot";"....City of Baguio";948;841;5;93;0;0;9;0;0;0
"Own house rent lot";"..REGION I (ILOCOS REGION)";29274;27993;836;152;0;244;47;2;0;0
"Own house rent lot";"....Ilocos Norte";5397;5077;219;30;0;61;9;1;0;0
"Own house rent lot";"....Ilocos Sur";3479;3354;80;9;0;25;11;0;0;0
"Own house rent lot";"....La Union";4350;4178;109;36;0;21;6;0;0;0
"Own house rent lot";"....Pangasinan";16048;15384;428;77;0;137;21;1;0;0
