"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2012-2013 to 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2001B3GO020.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Occupational Safety and Health Policy/Program";"Major Industry Group";"2012-2013";"2015";"2017"
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"Total Establishments";15654;17767;20494
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Agriculture, Forestry and Fishing";421;512;573
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Mining and Quarrying";128;102;112
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Manufacturing";3701;4211;4458
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Electricity, Gas, Steam and Air Conditioning Supply";304;203;241
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Water Supply; Sewerage, Waste Management and Remediation Activities";122;109;144
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Construction";700;638;711
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3057;3927;4833
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Transportation and Storage";616;544;723
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Accommodation and Food Service Activities";2242;2654;2966
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Information and Communication";334;388;416
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Financial and Insurance Activities";445;667;598
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Real Estate Activities";229;189;287
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Professional, Scientific and Technical Activities";258;291;382
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Administrative and Support Service Activities";882;1062;1244
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Education Except Public Education";1308;1387;1739
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Human Health and Social Work Activities Except Public Health Activities";620;677;738
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Arts, Entertainment and  Recreation";157;104;134
"Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";129;102;195
"Healthy Lifestyle Program";"Total Establishments";14798;16829;19275
"Healthy Lifestyle Program";"..Agriculture, Forestry and Fishing";396;368;483
"Healthy Lifestyle Program";"..Mining and Quarrying";75;90;87
"Healthy Lifestyle Program";"..Manufacturing";2617;3215;3429
"Healthy Lifestyle Program";"..Electricity, Gas, Steam and Air Conditioning Supply";301;180;220
"Healthy Lifestyle Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";170;183;166
"Healthy Lifestyle Program";"..Construction";467;487;567
"Healthy Lifestyle Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2996;3567;4621
"Healthy Lifestyle Program";"..Transportation and Storage";438;505;638
"Healthy Lifestyle Program";"..Accommodation and Food Service Activities";1833;2351;2370
"Healthy Lifestyle Program";"..Information and Communication";422;453;521
"Healthy Lifestyle Program";"..Financial and Insurance Activities";579;779;810
"Healthy Lifestyle Program";"..Real Estate Activities";202;189;267
"Healthy Lifestyle Program";"..Professional, Scientific and Technical Activities";282;345;419
"Healthy Lifestyle Program";"..Administrative and Support Service Activities";880;1091;1222
"Healthy Lifestyle Program";"..Education Except Public Education";2363;2107;2378
"Healthy Lifestyle Program";"..Human Health and Social Work Activities Except Public Health Activities";527;675;749
"Healthy Lifestyle Program";"..Arts, Entertainment and  Recreation";121;112;121
"Healthy Lifestyle Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";130;132;209
"DOLE-Approved Construction Safety and Health Program";"Total Establishments";9205;11564;14117
"DOLE-Approved Construction Safety and Health Program";"..Agriculture, Forestry and Fishing";290;275;387
"DOLE-Approved Construction Safety and Health Program";"..Mining and Quarrying";50;60;69
"DOLE-Approved Construction Safety and Health Program";"..Manufacturing";2256;2431;2790
"DOLE-Approved Construction Safety and Health Program";"..Electricity, Gas, Steam and Air Conditioning Supply";163;104;142
"DOLE-Approved Construction Safety and Health Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";53;68;71
"DOLE-Approved Construction Safety and Health Program";"..Construction";703;760;806
"DOLE-Approved Construction Safety and Health Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1783;2618;3454
