"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2012-2013 to 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2001B3GO020.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Occupational Safety and Health Policy/Program";"Major Industry Group";"2012-2013";"2015";"2017"
"Drug-Free Workplace Policy and Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4300;5251;5992
"Drug-Free Workplace Policy and Program";"..Transportation and Storage";778;753;839
"Drug-Free Workplace Policy and Program";"..Accommodation and Food Service Activities";3003;3328;3562
"Drug-Free Workplace Policy and Program";"..Information and Communication";524;589;564
"Drug-Free Workplace Policy and Program";"..Financial and Insurance Activities";526;1003;922
"Drug-Free Workplace Policy and Program";"..Real Estate Activities";200;306;345
"Drug-Free Workplace Policy and Program";"..Professional, Scientific and Technical Activities";307;487;502
"Drug-Free Workplace Policy and Program";"..Administrative and Support Service Activities";1278;1490;1520
"Drug-Free Workplace Policy and Program";"..Education Except Public Education";2565;2447;2608
"Drug-Free Workplace Policy and Program";"..Human Health and Social Work Activities Except Public Health Activities";653;752;863
"Drug-Free Workplace Policy and Program";"..Arts, Entertainment and  Recreation";211;175;184
"Drug-Free Workplace Policy and Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";256;236;272
"Employee Assistance related to Substance Abuse";"Total Establishments";9186;11428;13900
"Employee Assistance related to Substance Abuse";"..Agriculture, Forestry and Fishing";280;316;339
"Employee Assistance related to Substance Abuse";"..Mining and Quarrying";40;51;53
"Employee Assistance related to Substance Abuse";"..Manufacturing";1738;2255;2600
"Employee Assistance related to Substance Abuse";"..Electricity, Gas, Steam and Air Conditioning Supply";143;126;171
"Employee Assistance related to Substance Abuse";"..Water Supply; Sewerage, Waste Management and Remediation Activities";94;101;98
"Employee Assistance related to Substance Abuse";"..Construction";325;397;473
"Employee Assistance related to Substance Abuse";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1710;2462;3411
"Employee Assistance related to Substance Abuse";"..Transportation and Storage";433;406;506
"Employee Assistance related to Substance Abuse";"..Accommodation and Food Service Activities";1477;1889;2094
"Employee Assistance related to Substance Abuse";"..Information and Communication";236;257;273
"Employee Assistance related to Substance Abuse";"..Financial and Insurance Activities";311;497;479
"Employee Assistance related to Substance Abuse";"..Real Estate Activities";124;132;181
"Employee Assistance related to Substance Abuse";"..Professional, Scientific and Technical Activities";153;200;283
"Employee Assistance related to Substance Abuse";"..Administrative and Support Service Activities";575;776;983
"Employee Assistance related to Substance Abuse";"..Education Except Public Education";962;904;1157
"Employee Assistance related to Substance Abuse";"..Human Health and Social Work Activities Except Public Health Activities";390;466;532
"Employee Assistance related to Substance Abuse";"..Arts, Entertainment and  Recreation";84;77;98
"Employee Assistance related to Substance Abuse";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";112;115;170
"Hepatitis B Prevention and Control Policy and Program";"Total Establishments";8931;13062;14578
"Hepatitis B Prevention and Control Policy and Program";"..Agriculture, Forestry and Fishing";199;255;279
"Hepatitis B Prevention and Control Policy and Program";"..Mining and Quarrying";35;66;65
"Hepatitis B Prevention and Control Policy and Program";"..Manufacturing";1801;2735;2958
"Hepatitis B Prevention and Control Policy and Program";"..Electricity, Gas, Steam and Air Conditioning Supply";171;123;159
"Hepatitis B Prevention and Control Policy and Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";43;46;43
"Hepatitis B Prevention and Control Policy and Program";"..Construction";390;403;402
"Hepatitis B Prevention and Control Policy and Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1670;2761;3607
"Hepatitis B Prevention and Control Policy and Program";"..Transportation and Storage";305;370;447
"Hepatitis B Prevention and Control Policy and Program";"..Accommodation and Food Service Activities";1621;2314;2371
"Hepatitis B Prevention and Control Policy and Program";"..Information and Communication";216;322;334
"Hepatitis B Prevention and Control Policy and Program";"..Financial and Insurance Activities";150;541;493
"Hepatitis B Prevention and Control Policy and Program";"..Real Estate Activities";134;116;194
"Hepatitis B Prevention and Control Policy and Program";"..Professional, Scientific and Technical Activities";152;232;274
"Hepatitis B Prevention and Control Policy and Program";"..Administrative and Support Service Activities";562;964;1066
"Hepatitis B Prevention and Control Policy and Program";"..Education Except Public Education";803;846;903
"Hepatitis B Prevention and Control Policy and Program";"..Human Health and Social Work Activities Except Public Health Activities";491;678;718
"Hepatitis B Prevention and Control Policy and Program";"..Arts, Entertainment and  Recreation";45;90;82
"Hepatitis B Prevention and Control Policy and Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";142;201;183
"Ergonomics Program";"Total Establishments";5584;7667;10682
"Ergonomics Program";"..Agriculture, Forestry and Fishing";108;215;217
"Ergonomics Program";"..Mining and Quarrying";38;57;60
"Ergonomics Program";"..Manufacturing";1333;1807;2210
"Ergonomics Program";"..Electricity, Gas, Steam and Air Conditioning Supply";157;117;142
"Ergonomics Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";42;50;46
"Ergonomics Program";"..Construction";181;355;348
"Ergonomics Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1058;1440;2613
"Ergonomics Program";"..Transportation and Storage";223;169;377
"Ergonomics Program";"..Accommodation and Food Service Activities";830;1310;1504
"Ergonomics Program";"..Information and Communication";168;160;264
"Ergonomics Program";"..Financial and Insurance Activities";118;320;358
"Ergonomics Program";"..Real Estate Activities";53;67;130
"Ergonomics Program";"..Professional, Scientific and Technical Activities";107;132;219
"Ergonomics Program";"..Administrative and Support Service Activities";338;502;793
"Ergonomics Program";"..Education Except Public Education";460;572;835
"Ergonomics Program";"..Human Health and Social Work Activities Except Public Health Activities";285;315;405
"Ergonomics Program";"..Arts, Entertainment and  Recreation";55;51;81
"Ergonomics Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";32;28;82
"Anti-Sexual Harassment Policy";"Total Establishments";16844;18538;19479
"Anti-Sexual Harassment Policy";"..Agriculture, Forestry and Fishing";422;376;384
"Anti-Sexual Harassment Policy";"..Mining and Quarrying";57;77;82
"Anti-Sexual Harassment Policy";"..Manufacturing";2876;3526;3554
"Anti-Sexual Harassment Policy";"..Electricity, Gas, Steam and Air Conditioning Supply";321;173;192
"Anti-Sexual Harassment Policy";"..Water Supply; Sewerage, Waste Management and Remediation Activities";174;200;194
"Anti-Sexual Harassment Policy";"..Construction";497;515;498
"Anti-Sexual Harassment Policy";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3296;4141;4777
"Anti-Sexual Harassment Policy";"..Transportation and Storage";576;545;595
"Anti-Sexual Harassment Policy";"..Accommodation and Food Service Activities";2739;2864;2836
"Anti-Sexual Harassment Policy";"..Information and Communication";511;543;489
"Anti-Sexual Harassment Policy";"..Financial and Insurance Activities";640;913;790
"Anti-Sexual Harassment Policy";"..Real Estate Activities";182;212;244
"Anti-Sexual Harassment Policy";"..Professional, Scientific and Technical Activities";257;385;411
"Anti-Sexual Harassment Policy";"..Administrative and Support Service Activities";1142;1212;1336
"Anti-Sexual Harassment Policy";"..Education Except Public Education";2058;1855;1992
"Anti-Sexual Harassment Policy";"..Human Health and Social Work Activities Except Public Health Activities";708;646;740
"Anti-Sexual Harassment Policy";"..Arts, Entertainment and  Recreation";154;143;125
"Anti-Sexual Harassment Policy";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";235;212;239
"Chemical Safety Program";"Total Establishments";8613;9469;11942
"Chemical Safety Program";"..Agriculture, Forestry and Fishing";235;310;387
"Chemical Safety Program";"..Mining and Quarrying";64;67;79
"Chemical Safety Program";"..Manufacturing";2774;2810;3002
"Chemical Safety Program";"..Electricity, Gas, Steam and Air Conditioning Supply";180;116;167
"Chemical Safety Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";89;76;86
"Chemical Safety Program";"..Construction";371;361;423
"Chemical Safety Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1222;1715;2548
"Chemical Safety Program";"..Transportation and Storage";257;223;380
"Chemical Safety Program";"..Accommodation and Food Service Activities";1461;1758;1889
"Chemical Safety Program";"..Information and Communication";125;112;149
"Chemical Safety Program";"..Financial and Insurance Activities";74;182;248
"Chemical Safety Program";"..Real Estate Activities";69;54;150
"Chemical Safety Program";"..Professional, Scientific and Technical Activities";103;128;193
"Chemical Safety Program";"..Administrative and Support Service Activities";235;357;574
"Chemical Safety Program";"..Education Except Public Education";729;651;953
"Chemical Safety Program";"..Human Health and Social Work Activities Except Public Health Activities";504;453;533
"Chemical Safety Program";"..Arts, Entertainment and  Recreation";40;43;69
"Chemical Safety Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";80;55;111
"Fire Prevention and Control Program";"Total Establishments";..;25238;26655
"Fire Prevention and Control Program";"..Agriculture, Forestry and Fishing";..;662;736
"Fire Prevention and Control Program";"..Mining and Quarrying";..;124;124
"Fire Prevention and Control Program";"..Manufacturing";..;5145;5105
"Fire Prevention and Control Program";"..Electricity, Gas, Steam and Air Conditioning Supply";..;221;260
"Fire Prevention and Control Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;208;211
"Fire Prevention and Control Program";"..Construction";..;755;774
"Fire Prevention and Control Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;5603;6346
"Fire Prevention and Control Program";"..Transportation and Storage";..;823;827
"Fire Prevention and Control Program";"..Accommodation and Food Service Activities";..;3506;3671
"Fire Prevention and Control Program";"..Information and Communication";..;652;613
"Fire Prevention and Control Program";"..Financial and Insurance Activities";..;1098;1051
"Fire Prevention and Control Program";"..Real Estate Activities";..;311;360
"Fire Prevention and Control Program";"..Professional, Scientific and Technical Activities";..;526;554
"Fire Prevention and Control Program";"..Administrative and Support Service Activities";..;1455;1562
"Fire Prevention and Control Program";"..Education Except Public Education";..;2877;3068
"Fire Prevention and Control Program";"..Human Health and Social Work Activities Except Public Health Activities";..;859;955
"Fire Prevention and Control Program";"..Arts, Entertainment and  Recreation";..;185;170
"Fire Prevention and Control Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;229;268
"Others";"Total Establishments";94;156;91
"Others";"..Agriculture, Forestry and Fishing";4;1;1
"Others";"..Mining and Quarrying";..;2;0
"Others";"..Manufacturing";18;29;9
"Others";"..Electricity, Gas, Steam and Air Conditioning Supply";..;2;6
"Others";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;1;1
"Others";"..Construction";1;7;2
"Others";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;23;24
"Others";"..Transportation and Storage";4;11;0
"Others";"..Accommodation and Food Service Activities";..;14;0
"Others";"..Information and Communication";..;11;12
"Others";"..Financial and Insurance Activities";..;24;5
"Others";"..Real Estate Activities";5;2;0
"Others";"..Professional, Scientific and Technical Activities";3;1;3
"Others";"..Administrative and Support Service Activities";4;14;9
"Others";"..Education Except Public Education";51;11;14
"Others";"..Human Health and Social Work Activities Except Public Health Activities";4;3;3
"Others";"..Arts, Entertainment and  Recreation";..;0;0
"Others";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;0;2
