"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Primary Objective of Productivity Program and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/4251B3GP061.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Primary Objective of Productivity Program";"2015"
"..Education Except Public Education";"..Others";61
"..Human Health and Social Work Activities Except Public Health Activities";"Total Productivity Programs Implemented";127
"..Human Health and Social Work Activities Except Public Health Activities";"..Shorten Process Cycle Time";7
"..Human Health and Social Work Activities Except Public Health Activities";"..Reduction of Work Accident Injuries";7
"..Human Health and Social Work Activities Except Public Health Activities";"..Reduction of Wastage";10
"..Human Health and Social Work Activities Except Public Health Activities";"..Reduction of Customer Complaints";17
"..Human Health and Social Work Activities Except Public Health Activities";"..Reduction  Downtime";3
"..Human Health and Social Work Activities Except Public Health Activities";"..Reduction of Rework";1
"..Human Health and Social Work Activities Except Public Health Activities";"..Increase Level of Customer Satisfaction";69
"..Human Health and Social Work Activities Except Public Health Activities";"..Others";12
"..Arts, Entertainment and Recreation";"Total Productivity Programs Implemented";18
"..Arts, Entertainment and Recreation";"..Shorten Process Cycle Time";0
"..Arts, Entertainment and Recreation";"..Reduction of Work Accident Injuries";0
"..Arts, Entertainment and Recreation";"..Reduction of Wastage";7
"..Arts, Entertainment and Recreation";"..Reduction of Customer Complaints";0
"..Arts, Entertainment and Recreation";"..Reduction  Downtime";0
"..Arts, Entertainment and Recreation";"..Reduction of Rework";0
"..Arts, Entertainment and Recreation";"..Increase Level of Customer Satisfaction";10
"..Arts, Entertainment and Recreation";"..Others";1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Productivity Programs Implemented";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Shorten Process Cycle Time";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Reduction of Work Accident Injuries";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Reduction of Wastage";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Reduction of Customer Complaints";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Reduction  Downtime";2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Reduction of Rework";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Increase Level of Customer Satisfaction";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Others";9
