"Total Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over"""
"  ""....Ifugao"";207498;20430;21922;22248;21250;19816;18433;15768;13250;11384;9491;8418;7267;6039;4687;2839;1697;2559;107985;10540;11484;11396;10920;10267;9756;8447;7301;6201;5237;4369;3744;2954;2321;1362;708;978;99513;9890;10438;10852;10330;9549;8677;7321;5949;5183;4254;4049;3523;3085;2366;1477;989;1581"
"  ""....Kalinga"";229570;22223;23627;24184;24218;22563;19870;16897;14085;12556;10927;9858;8289;6956;5189;3386;2174;2568;118734;11519;12264;12610;12392;11651;10405;9123;7518;6713;5678;5032;4297;3391;2588;1574;952;1027;110836;10704;11363;11574;11826;10912;9465;7774;6567;5843;5249;4826;3992;3565;2601;1812;1222;1541"
"  ""....Mountain Province"";158200;13607;15809;16721;16812;14685;13183;11728;9726;8473;7500;7215;6377;5353;4038;2649;1830;2494;82274;7058;8263;8664;8675;7848;7026;6206;5237;4518;4023;3919;3331;2731;2023;1155;751;846;75926;6549;7546;8057;8137;6837;6157;5522;4489;3955;3477;3296;3046;2622;2015;1494;1079;1648"
"  ""....City of Baguio"";366358;26596;28867;30755;35030;40664;36129;31039;27853;23203;19525;18255;15504;12395;8608;5475;3000;3460;181350;13734;15115;15765;17656;20341;18081;15506;14024;11494;9644;8745;7317;5750;3681;2332;1108;1057;185008;12862;13752;14990;17374;20323;18048;15533;13829;11709;9881;9510;8187;6645;4927;3143;1892;2403"
"  ""..REGION I (ILOCOS REGION)"";5301139;479917;499613;514741;501884;463796;422818;380740;357248;324662;286913;264095;226610;190179;141470;104558;65510;76385;2687491;248735;260004;267358;259213;239327;217967;195979;183649;167603;147841;134718;113452;92627;65348;44468;24767;24435;2613648;231182;239609;247383;242671;224469;204851;184761;173599;157059;139072;129377;113158;97552;76122;60090;40743;51950"
"  ""....Ilocos Norte"";609588;46568;49231;55261;54061;52276;48389;45544;44280;39544;35421;33428;28379;23701;18091;13401;9753;12260;306830;24062;25724;28780;28024;27102;24652;23386;22925;20360;18134;16869;13910;11263;8159;5606;3768;4106;302758;22506;23507;26481;26037;25174;23737;22158;21355;19184;17287;16559;14469;12438;9932;7795;5985;8154"
"  ""....Ilocos Sur"";706009;53050;60014;65788;64584;59253;56544;51408;49895;45931;39939;37384;33263;27704;21505;15189;10641;13917;357026;27619;31235;34008;33364;30744;29281;26571;25714;23878;20616;19265;16753;13461;9820;6411;3876;4410;348983;25431;28779;31780;31220;28509;27263;24837;24181;22053;19323;18119;16510;14243;11685;8778;6765;9507"
"  ""....La Union"";822352;67913;72665;75521;75169;72716;67261;61199;57510;51841;45483;42722;37649;32231;23578;16886;9742;12266;416270;35215;37901;39176;38830;37500;34611;31397;29583;26693;23427;21835;18786;15656;10915;7162;3726;3857;406082;32698;34764;36345;36339;35216;32650;29802;27927;25148;22056;20887;18863;16575;12663;9724;6016;8409"
"  ""....Pangasinan"";3163190;312386;317703;318171;308070;279551;250624;222589;205563;187346;166070;150561;127319;106543;78296;59082;35374;37942;1607365;161839;165144;165394;158995;143981;129423;114625;105427;96672;85664;76749;64003;52247;36454;25289;13397;12062;1555825;150547;152559;152777;149075;135570;121201;107964;100136;90674;80406;73812;63316;54296;41842;33793;21977;25880"
"  ""..REGION II (CAGAYAN VALLEY)"";3685744;330685;361018;366748;346208;330729;305415;273296;244863;229559;200146;179805;158618;131229;93741;58781;34143;40760;1879118;170477;187828;189092;178346;170243;157083;141594;127077;119291;104074;92265;80283;64707;44099;25553;13390;13716;1806626;160208;173190;177656;167862;160486;148332;131702;117786;110268;96072;87540;78335;66522;49642;33228;20753;27044"
