"Deaths : Number of Registered Infant Deaths by Usual Residence (Region,Province and City/Municipality) and Month of Occurrence, Philippines: 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__DE/3071A1BVDA6.px/table/tableViewLayout1/?rxid=21cfd4f5-daa7-4747-be89-6068d4de5afd"
"Geolocation";"Total";"January";"February";"March";"April";"May";"June";"July";"August";"September";"October";"November";"December"
"....Bohol";277;15;17;21;16;23;32;28;26;27;23;26;23
"....Cebu";1213;88;84;116;118;113;98;97;103;90;107;105;94
"....Siquijor";311;22;18;33;22;23;30;32;26;19;33;31;22
"....Negros Oriental";27;2;2;3;2;0;4;3;2;2;3;1;3
"..REGION VIII- EASTERN VISAYAS";682;49;42;55;59;60;72;66;60;58;38;66;57
"....Eastern Samar";45;4;4;3;5;1;3;4;3;3;5;2;8
"....Leyte";269;14;21;29;26;22;22;22;25;23;14;31;20
"....Northern Samar";177;13;10;10;14;12;28;26;20;15;5;14;10
"....Samar (Western Samar)";72;9;2;3;5;10;7;3;2;5;7;11;8
"....Southern Leyte";82;7;3;5;7;7;9;7;9;7;4;7;10
"....Biliran";37;2;2;5;2;8;3;4;1;5;3;1;1
"..REGION IX- ZAMBOANGA PENINSULA";594;51;49;49;55;45;45;60;46;33;54;58;49
"....City of Isabela";14;3;2;1;3;1;1;1;1;..;..;1;..
"....Zamboanga Del Norte";129;6;12;9;11;13;8;14;9;6;16;10;15
"....Zamboanga Del Sur";375;35;31;31;37;23;30;36;33;23;32;40;24
"....Zamboanga Sibugay";76;7;4;8;4;8;6;9;3;4;6;7;10
"..REGION X- NORTHERN MINDANAO";1000;78;75;86;86;83;75;97;76;89;93;82;80
"....Bukidnon";296;17;15;24;24;24;33;29;22;27;31;25;25
"....Camiguin";11;1;1;1;1;1;1;1;2;..;..;2;..
"....Lanao Del Norte";176;20;14;15;21;14;12;10;14;18;13;13;12
"....Misamis Occidental";140;11;14;11;9;13;12;15;11;17;11;9;7
"....Misamis Oriental";377;29;31;35;31;31;17;42;27;27;38;33;36
"..REGION XI - DAVAO";1000;86;81;73;78;76;76;98;93;57;96;86;100
