"Number of Establishments Employing 20 or More Workers with Employees Who Availed of ECP Benefits  by Type and Duration When Benefit was Received and Major Industry Group, Philippines: 2015 - 2017"

"Type of ECP Benefits";"Duration When Benefit was Received";"Major Industry Group";"2017"
"Medical";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";67
"Medical";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";51
"Medical";"1 to 6 months";"..Construction";237
"Medical";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1499
"Medical";"1 to 6 months";"..Transportation and Storage";236
"Medical";"1 to 6 months";"..Accommodation and Food Service Activities";866
"Medical";"1 to 6 months";"..Information and Communication";121
"Medical";"1 to 6 months";"..Financial and Insurance Activities";282
"Medical";"1 to 6 months";"..Real Estate Activities";57
"Medical";"1 to 6 months";"..Professional, Scientific and Technical Activities";134
"Medical";"1 to 6 months";"..Administrative and Support Service Activities";431
"Medical";"1 to 6 months";"..Education Except Public Education";754
"Medical";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";232
"Medical";"1 to 6 months";"..Arts, Entertainment and  Recreation";38
"Medical";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";55
"Medical";"7 to 12 months";"ALL INDUSTRIES";672
"Medical";"7 to 12 months";"..Agriculture, Forestry and Fishing";21
"Medical";"7 to 12 months";"..Mining and Quarrying";1
"Medical";"7 to 12 months";"..Manufacturing";136
"Medical";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";2
"Medical";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";3
"Medical";"7 to 12 months";"..Construction";12
"Medical";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";162
"Medical";"7 to 12 months";"..Transportation and Storage";33
"Medical";"7 to 12 months";"..Accommodation and Food Service Activities";79
"Medical";"7 to 12 months";"..Information and Communication";16
"Medical";"7 to 12 months";"..Financial and Insurance Activities";23
"Medical";"7 to 12 months";"..Real Estate Activities";15
"Medical";"7 to 12 months";"..Professional, Scientific and Technical Activities";7
"Medical";"7 to 12 months";"..Administrative and Support Service Activities";39
"Medical";"7 to 12 months";"..Education Except Public Education";101
"Medical";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";7
"Medical";"7 to 12 months";"..Arts, Entertainment and  Recreation";4
"Medical";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";12
"Medical";"More than 12 months";"ALL INDUSTRIES";120
"Medical";"More than 12 months";"..Agriculture, Forestry and Fishing";7
"Medical";"More than 12 months";"..Mining and Quarrying";..
"Medical";"More than 12 months";"..Manufacturing";27
"Medical";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Medical";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Medical";"More than 12 months";"..Construction";2
"Medical";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";21
"Medical";"More than 12 months";"..Transportation and Storage";2
"Medical";"More than 12 months";"..Accommodation and Food Service Activities";15
"Medical";"More than 12 months";"..Information and Communication";1
"Medical";"More than 12 months";"..Financial and Insurance Activities";4
"Medical";"More than 12 months";"..Real Estate Activities";..
"Medical";"More than 12 months";"..Professional, Scientific and Technical Activities";5
"Medical";"More than 12 months";"..Administrative and Support Service Activities";6
"Medical";"More than 12 months";"..Education Except Public Education";23
"Medical";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";1
"Medical";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Medical";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Medical";"Do not know";"ALL INDUSTRIES";318
"Medical";"Do not know";"..Agriculture, Forestry and Fishing";7
"Medical";"Do not know";"..Mining and Quarrying";..
"Medical";"Do not know";"..Manufacturing";74
"Medical";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Medical";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";4
"Medical";"Do not know";"..Construction";13
