"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Household Population;""....City of Makati"";""Female"";""60-64"";13501",,,,
"Household Population;""....City of Makati"";""Female"";""65-69"";9192",,,,
"Household Population;""....City of Makati"";""Female"";""70-74"";5985",,,,
"Household Population;""....City of Makati"";""Female"";""75-79"";3271",,,,
"Household Population;""....City of Makati"";""Female"";""80 years old and over"";4311",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""All Ages"";519112",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""Below 5"";48124",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""5-9"";46271",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""10-14"";43923",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""15-19"";43559",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""20-24"";47723",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""25-29"";48596",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""30-34"";45215",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""35-39"";40881",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""40-44"";35894",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""45-49"";30066",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""50-54"";25501",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""55-59"";20545",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""60-64"";17082",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""65-69"";11606",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""70-74"";7223",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""75-79"";3544",,,,
"Household Population;""....City of Muntinlupa"";""Both Sexes"";""80 years old and over"";3359",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""All Ages"";256360",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""Below 5"";24974",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""5-9"";23902",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""10-14"";22544",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""15-19"";22185",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""20-24"";23967",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""25-29"";24387",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""30-34"";22739",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""35-39"";20490",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""40-44"";17580",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""45-49"";14507",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""50-54"";12010",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""55-59"";9265",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""60-64"";7527",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""65-69"";4924",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""70-74"";2981",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""75-79"";1337",,,,
"Household Population;""....City of Muntinlupa"";""Male"";""80 years old and over"";1041",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""All Ages"";262752",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""Below 5"";23150",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""5-9"";22369",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""10-14"";21379",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""15-19"";21374",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""20-24"";23756",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""25-29"";24209",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""30-34"";22476",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""35-39"";20391",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""40-44"";18314",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""45-49"";15559",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""50-54"";13491",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""55-59"";11280",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""60-64"";9555",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""65-69"";6682",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""70-74"";4242",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""75-79"";2207",,,,
"Household Population;""....City of Muntinlupa"";""Female"";""80 years old and over"";2318",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""All Ages"";686313",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""Below 5"";65188",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""5-9"";60674",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""10-14"";57204",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""15-19"";52275",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""20-24"";61893",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""25-29"";65062",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""30-34"";62914",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""35-39"";55303",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""40-44"";47334",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""45-49"";39761",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""50-54"";34354",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""55-59"";27554",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""60-64"";22192",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""65-69"";14735",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""70-74"";9551",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""75-79"";5043",,,,
"Household Population;""....City of Parañaque"";""Both Sexes"";""80 years old and over"";5276",,,,
"Household Population;""....City of Parañaque"";""Male"";""All Ages"";339314",,,,
"Household Population;""....City of Parañaque"";""Male"";""Below 5"";33402",,,,
"Household Population;""....City of Parañaque"";""Male"";""5-9"";31399",,,,
"Household Population;""....City of Parañaque"";""Male"";""10-14"";29634",,,,
"Household Population;""....City of Parañaque"";""Male"";""15-19"";26579",,,,
"Household Population;""....City of Parañaque"";""Male"";""20-24"";31082",,,,
"Household Population;""....City of Parañaque"";""Male"";""25-29"";32920",,,,
"Household Population;""....City of Parañaque"";""Male"";""30-34"";32187",,,,
"Household Population;""....City of Parañaque"";""Male"";""35-39"";27478",,,,
"Household Population;""....City of Parañaque"";""Male"";""40-44"";23211",,,,
"Household Population;""....City of Parañaque"";""Male"";""45-49"";19198",,,,
"Household Population;""....City of Parañaque"";""Male"";""50-54"";16013",,,,
"Household Population;""....City of Parañaque"";""Male"";""55-59"";12488",,,,
"Household Population;""....City of Parañaque"";""Male"";""60-64"";9897",,,,
"Household Population;""....City of Parañaque"";""Male"";""65-69"";6353",,,,
"Household Population;""....City of Parañaque"";""Male"";""70-74"";3929",,,,
"Household Population;""....City of Parañaque"";""Male"";""75-79"";1859",,,,
"Household Population;""....City of Parañaque"";""Male"";""80 years old and over"";1685",,,,
"Household Population;""....City of Parañaque"";""Female"";""All Ages"";346999",,,,
"Household Population;""....City of Parañaque"";""Female"";""Below 5"";31786",,,,
"Household Population;""....City of Parañaque"";""Female"";""5-9"";29275",,,,
"Household Population;""....City of Parañaque"";""Female"";""10-14"";27570",,,,
"Household Population;""....City of Parañaque"";""Female"";""15-19"";25696",,,,
"Household Population;""....City of Parañaque"";""Female"";""20-24"";30811",,,,
"Household Population;""....City of Parañaque"";""Female"";""25-29"";32142",,,,
"Household Population;""....City of Parañaque"";""Female"";""30-34"";30727",,,,
"Household Population;""....City of Parañaque"";""Female"";""35-39"";27825",,,,
"Household Population;""....City of Parañaque"";""Female"";""40-44"";24123",,,,
"Household Population;""....City of Parañaque"";""Female"";""45-49"";20563",,,,
"Household Population;""....City of Parañaque"";""Female"";""50-54"";18341",,,,
"Household Population;""....City of Parañaque"";""Female"";""55-59"";15066",,,,
"Household Population;""....City of Parañaque"";""Female"";""60-64"";12295",,,,
"Household Population;""....City of Parañaque"";""Female"";""65-69"";8382",,,,
"Household Population;""....City of Parañaque"";""Female"";""70-74"";5622",,,,
"Household Population;""....City of Parañaque"";""Female"";""75-79"";3184",,,,
"Household Population;""....City of Parañaque"";""Female"";""80 years old and over"";3591",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""All Ages"";437003",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""Below 5"";33038",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""5-9"";34698",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""10-14"";34399",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""15-19"";34196",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""20-24"";49416",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""25-29"";52250",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""30-34"";42628",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""35-39"";35045",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""40-44"";29187",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""45-49"";23236",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""50-54"";20200",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""55-59"";16047",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""60-64"";12520",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""65-69"";8704",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""70-74"";5706",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""75-79"";2857",,,,
"Household Population;""....Pasay City"";""Both Sexes"";""80 years old and over"";2876",,,,
"Household Population;""....Pasay City"";""Male"";""All Ages"";217169",,,,
"Household Population;""....Pasay City"";""Male"";""Below 5"";17045",,,,
"Household Population;""....Pasay City"";""Male"";""5-9"";17840",,,,
"Household Population;""....Pasay City"";""Male"";""10-14"";17605",,,,
"Household Population;""....Pasay City"";""Male"";""15-19"";17049",,,,
"Household Population;""....Pasay City"";""Male"";""20-24"";24733",,,,
"Household Population;""....Pasay City"";""Male"";""25-29"";26241",,,,
"Household Population;""....Pasay City"";""Male"";""30-34"";21715",,,,
"Household Population;""....Pasay City"";""Male"";""35-39"";18010",,,,
"Household Population;""....Pasay City"";""Male"";""40-44"";14699",,,,
"Household Population;""....Pasay City"";""Male"";""45-49"";11463",,,,
"Household Population;""....Pasay City"";""Male"";""50-54"";9772",,,,
"Household Population;""....Pasay City"";""Male"";""55-59"";7576",,,,
"Household Population;""....Pasay City"";""Male"";""60-64"";5570",,,,
"Household Population;""....Pasay City"";""Male"";""65-69"";3789",,,,
"Household Population;""....Pasay City"";""Male"";""70-74"";2268",,,,
"Household Population;""....Pasay City"";""Male"";""75-79"";953",,,,
"Household Population;""....Pasay City"";""Male"";""80 years old and over"";841",,,,
"Household Population;""....Pasay City"";""Female"";""All Ages"";219834",,,,
"Household Population;""....Pasay City"";""Female"";""Below 5"";15993",,,,
"Household Population;""....Pasay City"";""Female"";""5-9"";16858",,,,
"Household Population;""....Pasay City"";""Female"";""10-14"";16794",,,,
"Household Population;""....Pasay City"";""Female"";""15-19"";17147",,,,
"Household Population;""....Pasay City"";""Female"";""20-24"";24683",,,,
"Household Population;""....Pasay City"";""Female"";""25-29"";26009",,,,
"Household Population;""....Pasay City"";""Female"";""30-34"";20913",,,,
"Household Population;""....Pasay City"";""Female"";""35-39"";17035",,,,
"Household Population;""....Pasay City"";""Female"";""40-44"";14488",,,,
"Household Population;""....Pasay City"";""Female"";""45-49"";11773",,,,
"Household Population;""....Pasay City"";""Female"";""50-54"";10428",,,,
"Household Population;""....Pasay City"";""Female"";""55-59"";8471",,,,
"Household Population;""....Pasay City"";""Female"";""60-64"";6950",,,,
"Household Population;""....Pasay City"";""Female"";""65-69"";4915",,,,
"Household Population;""....Pasay City"";""Female"";""70-74"";3438",,,,
"Household Population;""....Pasay City"";""Female"";""75-79"";1904",,,,
"Household Population;""....Pasay City"";""Female"";""80 years old and over"";2035",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""All Ages"";882622",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""Below 5"";90829",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""5-9"";85123",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""10-14"";80819",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""15-19"";74250",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""20-24"";87932",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""25-29"";90951",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""30-34"";81765",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""35-39"";68330",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""40-44"";57484",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""45-49"";44835",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""50-54"";37324",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""55-59"";29748",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""60-64"";22939",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""65-69"";14702",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""70-74"";8302",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""75-79"";3860",,,,
"Household Population;""....City of Taguig"";""Both Sexes"";""80 years old and over"";3429",,,,
"Household Population;""....City of Taguig"";""Male"";""All Ages"";443918",,,,
"Household Population;""....City of Taguig"";""Male"";""Below 5"";47030",,,,
"Household Population;""....City of Taguig"";""Male"";""5-9"";44188",,,,
"Household Population;""....City of Taguig"";""Male"";""10-14"";41700",,,,
"Household Population;""....City of Taguig"";""Male"";""15-19"";37534",,,,
"Household Population;""....City of Taguig"";""Male"";""20-24"";43882",,,,
"Household Population;""....City of Taguig"";""Male"";""25-29"";46024",,,,
"Household Population;""....City of Taguig"";""Male"";""30-34"";41916",,,,
"Household Population;""....City of Taguig"";""Male"";""35-39"";34732",,,,
"Household Population;""....City of Taguig"";""Male"";""40-44"";29269",,,,
"Household Population;""....City of Taguig"";""Male"";""45-49"";22427",,,,
"Household Population;""....City of Taguig"";""Male"";""50-54"";18137",,,,
"Household Population;""....City of Taguig"";""Male"";""55-59"";14172",,,,
"Household Population;""....City of Taguig"";""Male"";""60-64"";10495",,,,
"Household Population;""....City of Taguig"";""Male"";""65-69"";6628",,,,
"Household Population;""....City of Taguig"";""Male"";""70-74"";3398",,,,
"Household Population;""....City of Taguig"";""Male"";""75-79"";1413",,,,
"Household Population;""....City of Taguig"";""Male"";""80 years old and over"";973",,,,
"Household Population;""....City of Taguig"";""Female"";""All Ages"";438704",,,,
"Household Population;""....City of Taguig"";""Female"";""Below 5"";43799",,,,
"Household Population;""....City of Taguig"";""Female"";""5-9"";40935",,,,
"Household Population;""....City of Taguig"";""Female"";""10-14"";39119",,,,
"Household Population;""....City of Taguig"";""Female"";""15-19"";36716",,,,
"Household Population;""....City of Taguig"";""Female"";""20-24"";44050",,,,
"Household Population;""....City of Taguig"";""Female"";""25-29"";44927",,,,
"Household Population;""....City of Taguig"";""Female"";""30-34"";39849",,,,
"Household Population;""....City of Taguig"";""Female"";""35-39"";33598",,,,
"Household Population;""....City of Taguig"";""Female"";""40-44"";28215",,,,
"Household Population;""....City of Taguig"";""Female"";""45-49"";22408",,,,
"Household Population;""....City of Taguig"";""Female"";""50-54"";19187",,,,
"Household Population;""....City of Taguig"";""Female"";""55-59"";15576",,,,
"Household Population;""....City of Taguig"";""Female"";""60-64"";12444",,,,
"Household Population;""....City of Taguig"";""Female"";""65-69"";8074",,,,
"Household Population;""....City of Taguig"";""Female"";""70-74"";4904",,,,
"Household Population;""....City of Taguig"";""Female"";""75-79"";2447",,,,
"Household Population;""....City of Taguig"";""Female"";""80 years old and over"";2456",,,,
"Household Population;""....Pateros"";""Both Sexes"";""All Ages"";65064",,,,
"Household Population;""....Pateros"";""Both Sexes"";""Below 5"";5845",,,,
"Household Population;""....Pateros"";""Both Sexes"";""5-9"";5934",,,,
"Household Population;""....Pateros"";""Both Sexes"";""10-14"";5869",,,,
"Household Population;""....Pateros"";""Both Sexes"";""15-19"";5414",,,,
"Household Population;""....Pateros"";""Both Sexes"";""20-24"";5949",,,,
"Household Population;""....Pateros"";""Both Sexes"";""25-29"";5900",,,,
"Household Population;""....Pateros"";""Both Sexes"";""30-34"";5607",,,,
"Household Population;""....Pateros"";""Both Sexes"";""35-39"";4826",,,,
"Household Population;""....Pateros"";""Both Sexes"";""40-44"";4307",,,,
"Household Population;""....Pateros"";""Both Sexes"";""45-49"";3657",,,,
"Household Population;""....Pateros"";""Both Sexes"";""50-54"";3302",,,,
"Household Population;""....Pateros"";""Both Sexes"";""55-59"";2667",,,,
"Household Population;""....Pateros"";""Both Sexes"";""60-64"";2143",,,,
"Household Population;""....Pateros"";""Both Sexes"";""65-69"";1540",,,,
"Household Population;""....Pateros"";""Both Sexes"";""70-74"";1008",,,,
"Household Population;""....Pateros"";""Both Sexes"";""75-79"";561",,,,
"Household Population;""....Pateros"";""Both Sexes"";""80 years old and over"";535",,,,
"Household Population;""....Pateros"";""Male"";""All Ages"";32366",,,,
"Household Population;""....Pateros"";""Male"";""Below 5"";3016",,,,
"Household Population;""....Pateros"";""Male"";""5-9"";3070",,,,
"Household Population;""....Pateros"";""Male"";""10-14"";3049",,,,
"Household Population;""....Pateros"";""Male"";""15-19"";2777",,,,
"Household Population;""....Pateros"";""Male"";""20-24"";2966",,,,
"Household Population;""....Pateros"";""Male"";""25-29"";2965",,,,
"Household Population;""....Pateros"";""Male"";""30-34"";2872",,,,
"Household Population;""....Pateros"";""Male"";""35-39"";2405",,,,
"Household Population;""....Pateros"";""Male"";""40-44"";2158",,,,
"Household Population;""....Pateros"";""Male"";""45-49"";1796",,,,
"Household Population;""....Pateros"";""Male"";""50-54"";1614",,,,
"Household Population;""....Pateros"";""Male"";""55-59"";1289",,,,
"Household Population;""....Pateros"";""Male"";""60-64"";944",,,,
"Household Population;""....Pateros"";""Male"";""65-69"";681",,,,
"Household Population;""....Pateros"";""Male"";""70-74"";407",,,,
"Household Population;""....Pateros"";""Male"";""75-79"";195",,,,
"Household Population;""....Pateros"";""Male"";""80 years old and over"";162",,,,
"Household Population;""....Pateros"";""Female"";""All Ages"";32698",,,,
"Household Population;""....Pateros"";""Female"";""Below 5"";2829",,,,
"Household Population;""....Pateros"";""Female"";""5-9"";2864",,,,
"Household Population;""....Pateros"";""Female"";""10-14"";2820",,,,
"Household Population;""....Pateros"";""Female"";""15-19"";2637",,,,
"Household Population;""....Pateros"";""Female"";""20-24"";2983",,,,
"Household Population;""....Pateros"";""Female"";""25-29"";2935",,,,
"Household Population;""....Pateros"";""Female"";""30-34"";2735",,,,
"Household Population;""....Pateros"";""Female"";""35-39"";2421",,,,
"Household Population;""....Pateros"";""Female"";""40-44"";2149",,,,
"Household Population;""....Pateros"";""Female"";""45-49"";1861",,,,
"Household Population;""....Pateros"";""Female"";""50-54"";1688",,,,
"Household Population;""....Pateros"";""Female"";""55-59"";1378",,,,
"Household Population;""....Pateros"";""Female"";""60-64"";1199",,,,
"Household Population;""....Pateros"";""Female"";""65-69"";859",,,,
"Household Population;""....Pateros"";""Female"";""70-74"";601",,,,
"Household Population;""....Pateros"";""Female"";""75-79"";366",,,,
"Household Population;""....Pateros"";""Female"";""80 years old and over"";373",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""All Ages"";1791121",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""Below 5"";158412",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""5-9"";171000",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""10-14"";175745",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""15-19"";178302",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""20-24"";174000",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""25-29"";159256",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""30-34"";140033",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""35-39"";121818",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""40-44"";104424",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""45-49"";88546",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""50-54"";81832",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""55-59"";71075",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""60-64"";58858",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""65-69"";42484",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""70-74"";27216",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""75-79"";16714",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Both Sexes"";""80 years old and over"";21406",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""All Ages"";917431",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""Below 5"";81950",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""5-9"";89241",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""10-14"";90577",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""15-19"";90959",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""20-24"";89131",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""25-29"";82705",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""30-34"";73366",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""35-39"";64290",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""40-44"";54819",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""45-49"";46262",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""50-54"";41978",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""55-59"";36101",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""60-64"";29029",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""65-69"";20297",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""70-74"";12257",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""75-79"";6853",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Male"";""80 years old and over"";7616",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""All Ages"";873690",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""Below 5"";76462",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""5-9"";81759",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""10-14"";85168",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""15-19"";87343",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""20-24"";84869",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""25-29"";76551",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""30-34"";66667",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""35-39"";57528",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""40-44"";49605",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""45-49"";42284",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""50-54"";39854",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""55-59"";34974",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""60-64"";29829",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""65-69"";22187",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""70-74"";14959",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""75-79"";9861",,,,
"Household Population;""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";""Female"";""80 years old and over"";13790",,,,
"Household Population;""....Abra"";""Both Sexes"";""All Ages"";250309",,,,
"Household Population;""....Abra"";""Both Sexes"";""Below 5"";19821",,,,
"Household Population;""....Abra"";""Both Sexes"";""5-9"";24125",,,,
"Household Population;""....Abra"";""Both Sexes"";""10-14"";25170",,,,
"Household Population;""....Abra"";""Both Sexes"";""15-19"";25328",,,,
"Household Population;""....Abra"";""Both Sexes"";""20-24"";21023",,,,
"Household Population;""....Abra"";""Both Sexes"";""25-29"";19781",,,,
"Household Population;""....Abra"";""Both Sexes"";""30-34"";18018",,,,
"Household Population;""....Abra"";""Both Sexes"";""35-39"";16609",,,,
"Household Population;""....Abra"";""Both Sexes"";""40-44"";14854",,,,
"Household Population;""....Abra"";""Both Sexes"";""45-49"";12620",,,,
"Household Population;""....Abra"";""Both Sexes"";""50-54"";12128",,,,
"Household Population;""....Abra"";""Both Sexes"";""55-59"";10944",,,,
"Household Population;""....Abra"";""Both Sexes"";""60-64"";9839",,,,
"Household Population;""....Abra"";""Both Sexes"";""65-69"";7406",,,,
"Household Population;""....Abra"";""Both Sexes"";""70-74"";4980",,,,
"Household Population;""....Abra"";""Both Sexes"";""75-79"";3085",,,,
"Household Population;""....Abra"";""Both Sexes"";""80 years old and over"";4578",,,,
"Household Population;""....Abra"";""Male"";""All Ages"";127632",,,,
"Household Population;""....Abra"";""Male"";""Below 5"";10326",,,,
"Household Population;""....Abra"";""Male"";""5-9"";12530",,,,
"Household Population;""....Abra"";""Male"";""10-14"";12969",,,,
"Household Population;""....Abra"";""Male"";""15-19"";13020",,,,
"Household Population;""....Abra"";""Male"";""20-24"";10905",,,,
"Household Population;""....Abra"";""Male"";""25-29"";10242",,,,
"Household Population;""....Abra"";""Male"";""30-34"";9334",,,,
"Household Population;""....Abra"";""Male"";""35-39"";8721",,,,
"Household Population;""....Abra"";""Male"";""40-44"";7833",,,,
"Household Population;""....Abra"";""Male"";""45-49"";6525",,,,
"Household Population;""....Abra"";""Male"";""50-54"";6300",,,,
