"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""15-19"";550217",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""20-24"";638394",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""25-29"";641378",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""30-34"";571682",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""35-39"";502439",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""40-44"";446183",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""45-49"";377174",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""50-54"";337597",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""55-59"";281559",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""60-64"";230577",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""65-69"";158648",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""70-74"";105130",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""75-79"";57080",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""80 years old and over"";64841",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""All Ages"";1846513",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""Below 5"";169275",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""5-9"";166305",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""10-14"";158577",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""15-19"";157770",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""20-24"";181027",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""25-29"";178784",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""30-34"";155850",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""35-39"";133781",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""40-44"";119221",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""45-49"";101870",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""50-54"";92711",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""55-59"";76035",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""60-64"";61103",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""65-69"";40846",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""70-74"";26818",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""75-79"";12938",,,,
"Total Population;""....City of Manila"";""Both Sexes"";""80 years old and over"";13602",,,,
"Total Population;""....City of Manila"";""Male"";""All Ages"";918643",,,,
"Total Population;""....City of Manila"";""Male"";""Below 5"";87422",,,,
