"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Total";"One Floor";"Two Floors";"Three Floors";"Four Floors";"Five to 10 Floors";"11 Floors or more";"Not Reported";"Not applicable"
"Single House";"....Pasay City";56954;14435;29934;8655;2805;0;0;1125;0
"Single House";"....City of Taguig";122616;66802;41371;12012;1963;0;0;468;0
"Single House";"....Pateros";10151;5490;4081;512;55;0;0;13;0
"Single House";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";404056;243655;127247;25765;6375;0;0;1014;0
"Single House";"....Abra";56294;44627;11233;387;29;0;0;18;0
"Single House";"....Apayao";28270;23776;4413;72;6;0;0;3;0
"Single House";"....Benguet *";107550;55429;40743;8514;2404;0;0;460;0
"Single House";"....Ifugao";48063;36598;10669;636;114;0;0;46;0
"Single House";"....Kalinga";47595;39221;8015;340;19;0;0;0;0
"Single House";"....Mountain Province";37153;18203;17078;1604;240;0;0;28;0
"Single House";"....City of Baguio";79131;25801;35096;14212;3563;0;0;459;0
"Single House";"..REGION I (ILOCOS REGION)";1182346;1029412;147600;4613;407;0;0;314;0
"Single House";"....Ilocos Norte";134694;113535;20466;619;69;0;0;5;0
"Single House";"....Ilocos Sur";160188;133265;26161;681;68;0;0;13;0
"Single House";"....La Union";184705;162586;21213;834;62;0;0;10;0
"Single House";"....Pangasinan";702759;620026;79760;2479;208;0;0;286;0
"Single House";"..REGION II (CAGAYAN VALLEY)";841530;752619;85602;2995;238;0;0;76;0
"Single House";"....Batanes";5133;3901;1194;35;1;0;0;2;0
"Single House";"....Cagayan";281216;242377;37122;1563;132;0;0;22;0
"Single House";"....Isabela";388832;358590;29313;828;70;0;0;31;0
"Single House";"....Nueva Vizcaya";118033;102471;15009;514;29;0;0;10;0
"Single House";"....Quirino";48316;45280;2964;55;6;0;0;11;0
"Single House";"..REGION III (CENTRAL LUZON)";2456831;2179626;266113;8721;660;0;0;1711;0
"Single House";"....Aurora";55324;51662;3533;118;2;0;0;9;0
"Single House";"....Bataan";171968;149291;22171;443;24;0;0;39;0
"Single House";"....Bulacan";628197;511237;111457;4589;285;0;0;629;0
"Single House";"....Nueva Ecija";513407;474557;37822;876;72;0;0;80;0
"Single House";"....Pampanga *";479636;429923;47752;1290;152;0;0;519;0
"Single House";"....Tarlac";326486;307789;17956;466;47;0;0;228;0
"Single House";"....Zambales *";147677;137243;10106;287;17;0;0;24;0
"Single House";"....City of Angeles";90348;82707;7265;182;21;0;0;173;0
"Single House";"....City of Olongapo";43788;35217;8051;470;40;0;0;10;0
"Single House";"..REGION IV-A (CALABARZON)";2840540;2292554;516378;28680;2019;0;0;909;0
"Single House";"....Batangas";574697;509713;63399;1386;114;0;0;85;0
"Single House";"....Cavite";621682;457802;155331;7617;443;0;0;489;0
"Single House";"....Laguna";567636;451624;111015;4552;354;0;0;91;0
"Single House";"....Quezon *";435565;391404;41979;1939;213;0;0;30;0
"Single House";"....Rizal";584757;436940;133892;12851;862;0;0;212;0
"Single House";"....City of Lucena";56203;45071;10762;335;33;0;0;2;0
"Single House";"..MIMAROPA REGION";754072;701970;50332;1515;165;0;0;90;0
"Single House";"....Marinduque";58344;52801;5297;225;17;0;0;4;0
"Single House";"....Occidental Mindoro";121610;114766;6688;121;17;0;0;18;0
"Single House";"....Oriental Mindoro";202737;190088;12184;416;25;0;0;24;0
"Single House";"....Palawan *";224346;211423;12723;154;23;0;0;23;0
"Single House";"....Romblon";74119;67988;5699;374;52;0;0;6;0
"Single House";"....City of Puerto Princesa";72916;64904;7741;225;31;0;0;15;0
"Single House";"..REGION V (BICOL REGION)";1299345;1189603;103949;5338;301;0;0;154;0
"Single House";"....Albay";295035;264303;28273;2281;150;0;0;28;0
"Single House";"....Camarines Norte";136834;127501;8977;329;16;0;0;11;0
"Single House";"....Camarines Sur";425054;388576;34842;1547;57;0;0;32;0
"Single House";"....Catanduanes";59114;53267;5529;276;21;0;0;21;0
"Single House";"....Masbate";202151;188811;12874;397;26;0;0;43;0
"Single House";"....Sorsogon";181157;167145;13454;508;31;0;0;19;0
"Single House";"..REGION VI (WESTERN VISAYAS)";1828573;1653203;171313;3172;268;0;0;617;0
"Single House";"....Aklan";143935;126365;16918;607;39;0;0;6;0
"Single House";"....Antique";143788;136958;6650;132;8;0;0;40;0
"Single House";"....Capiz";191908;180410;11202;247;14;0;0;35;0
"Single House";"....Guimaras";46972;45037;1906;18;2;0;0;9;0
"Single House";"....Iloilo *";482240;446532;34835;539;48;0;0;286;0
"Single House";"....Negros Occidental *";597914;554160;43318;313;31;0;0;92;0
"Single House";"....City of Bacolod";131717;108450;22883;310;41;0;0;33;0
"Single House";"....City of Iloilo";90099;55291;33601;1006;85;0;0;116;0
"Single House";"..REGION VII (CENTRAL VISAYAS)";1784336;1486951;286147;9370;1099;0;0;769;0
"Single House";"....Bohol";313935;279707;33572;389;35;0;0;232;0
"Single House";"....Cebu *";732313;653024;77521;1498;127;0;0;143;0
"Single House";"....Negros Oriental";335129;295144;39659;274;19;0;0;33;0
"Single House";"....Siquijor";25565;23189;2335;38;1;0;0;2;0
"Single House";"....City of Cebu";193234;106766;80052;5489;662;0;0;265;0
"Single House";"....City of Lapu-Lapu (Opon)";100557;78863;21053;506;104;0;0;31;0
"Single House";"....City of Mandaue";83603;50258;31955;1176;151;0;0;63;0
"Single House";"..REGION VIII (EASTERN VISAYAS)";1022992;885261;134089;3211;279;0;0;152;0
"Single House";"....Biliran";41393;38111;3195;76;9;0;0;2;0
