"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Regular Rank and File";"..Mining and Quarrying";"....P5,000-P9,999";1678
"Regular Rank and File";"..Mining and Quarrying";"....P10,000-P14,999";2
"Regular Rank and File";"..Mining and Quarrying";"....P15,000-P19,999";0
"Regular Rank and File";"..Mining and Quarrying";"....P20,000 and Over";0
"Regular Rank and File";"..Mining and Quarrying";"..Number of Workers Who Received Non-Cash Incentives";2
"Regular Rank and File";"..Manufacturing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";80911
"Regular Rank and File";"..Manufacturing";"..Number of Workers Who Received Cash Incentives";60299
"Regular Rank and File";"..Manufacturing";"....Below P5,000";32632
"Regular Rank and File";"..Manufacturing";"....P5,000-P9,999";11636
"Regular Rank and File";"..Manufacturing";"....P10,000-P14,999";3759
"Regular Rank and File";"..Manufacturing";"....P15,000-P19,999";2399
"Regular Rank and File";"..Manufacturing";"....P20,000 and Over";9873
"Regular Rank and File";"..Manufacturing";"..Number of Workers Who Received Non-Cash Incentives";20612
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Number of Workers Who Received Cash and Non-Cash Incentives";3057
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Cash Incentives";2787
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....Below P5,000";406
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P5,000-P9,999";1
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P10,000-P14,999";308
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P15,000-P19,999";721
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P20,000 and Over";1351
"Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Non-Cash Incentives";270
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";608
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Cash Incentives";587
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Below P5,000";0
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P5,000-P9,999";117
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P10,000-P14,999";356
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P15,000-P19,999";30
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P20,000 and Over";83
"Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Non-Cash Incentives";21
"Regular Rank and File";"..Construction";"Total Number of Workers Who Received Cash and Non-Cash Incentives";4692
"Regular Rank and File";"..Construction";"..Number of Workers Who Received Cash Incentives";4314
"Regular Rank and File";"..Construction";"....Below P5,000";3786
"Regular Rank and File";"..Construction";"....P5,000-P9,999";526
"Regular Rank and File";"..Construction";"....P10,000-P14,999";2
"Regular Rank and File";"..Construction";"....P15,000-P19,999";0
"Regular Rank and File";"..Construction";"....P20,000 and Over";0
"Regular Rank and File";"..Construction";"..Number of Workers Who Received Non-Cash Incentives";378
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Number of Workers Who Received Cash and Non-Cash Incentives";17464
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Cash Incentives";12299
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Below P5,000";7391
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P5,000-P9,999";2176
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P10,000-P14,999";1426
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P15,000-P19,999";507
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P20,000 and Over";798
"Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Non-Cash Incentives";5165
"Regular Rank and File";"..Transportation and Storage";"Total Number of Workers Who Received Cash and Non-Cash Incentives";8630
"Regular Rank and File";"..Transportation and Storage";"..Number of Workers Who Received Cash Incentives";4285
"Regular Rank and File";"..Transportation and Storage";"....Below P5,000";1381
"Regular Rank and File";"..Transportation and Storage";"....P5,000-P9,999";879
"Regular Rank and File";"..Transportation and Storage";"....P10,000-P14,999";551
"Regular Rank and File";"..Transportation and Storage";"....P15,000-P19,999";401
"Regular Rank and File";"..Transportation and Storage";"....P20,000 and Over";1074
"Regular Rank and File";"..Transportation and Storage";"..Number of Workers Who Received Non-Cash Incentives";4345
"Regular Rank and File";"..Accommodation and Food Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";4565
"Regular Rank and File";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Cash Incentives";3051
"Regular Rank and File";"..Accommodation and Food Service Activities";"....Below P5,000";1886
"Regular Rank and File";"..Accommodation and Food Service Activities";"....P5,000-P9,999";649
"Regular Rank and File";"..Accommodation and Food Service Activities";"....P10,000-P14,999";337
"Regular Rank and File";"..Accommodation and Food Service Activities";"....P15,000-P19,999";75
"Regular Rank and File";"..Accommodation and Food Service Activities";"....P20,000 and Over";106
"Regular Rank and File";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Non-Cash Incentives";1513
"Regular Rank and File";"..Information and Communication";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1082
"Regular Rank and File";"..Information and Communication";"..Number of Workers Who Received Cash Incentives";684
"Regular Rank and File";"..Information and Communication";"....Below P5,000";417
"Regular Rank and File";"..Information and Communication";"....P5,000-P9,999";39
"Regular Rank and File";"..Information and Communication";"....P10,000-P14,999";11
"Regular Rank and File";"..Information and Communication";"....P15,000-P19,999";143
"Regular Rank and File";"..Information and Communication";"....P20,000 and Over";74
"Regular Rank and File";"..Information and Communication";"..Number of Workers Who Received Non-Cash Incentives";397
"Regular Rank and File";"..Financial and Insurance Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";6449
"Regular Rank and File";"..Financial and Insurance Activities";"..Number of Workers Who Received Cash Incentives";5236
"Regular Rank and File";"..Financial and Insurance Activities";"....Below P5,000";821
"Regular Rank and File";"..Financial and Insurance Activities";"....P5,000-P9,999";969
"Regular Rank and File";"..Financial and Insurance Activities";"....P10,000-P14,999";647
"Regular Rank and File";"..Financial and Insurance Activities";"....P15,000-P19,999";417
"Regular Rank and File";"..Financial and Insurance Activities";"....P20,000 and Over";2383
"Regular Rank and File";"..Financial and Insurance Activities";"..Number of Workers Who Received Non-Cash Incentives";1213
"Regular Rank and File";"..Real Estate Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";887
"Regular Rank and File";"..Real Estate Activities";"..Number of Workers Who Received Cash Incentives";546
"Regular Rank and File";"..Real Estate Activities";"....Below P5,000";130
"Regular Rank and File";"..Real Estate Activities";"....P5,000-P9,999";261
"Regular Rank and File";"..Real Estate Activities";"....P10,000-P14,999";8
"Regular Rank and File";"..Real Estate Activities";"....P15,000-P19,999";14
"Regular Rank and File";"..Real Estate Activities";"....P20,000 and Over";133
"Regular Rank and File";"..Real Estate Activities";"..Number of Workers Who Received Non-Cash Incentives";341
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1442
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Cash Incentives";988
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"....Below P5,000";3
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P5,000-P9,999";61
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P10,000-P14,999";187
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P15,000-P19,999";327
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P20,000 and Over";411
"Regular Rank and File";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Non-Cash Incentives";454
"Regular Rank and File";"..Administrative and Support Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";14418
"Regular Rank and File";"..Administrative and Support Service Activities";"..Number of Workers Who Received Cash Incentives";6964
"Regular Rank and File";"..Administrative and Support Service Activities";"....Below P5,000";4184
"Regular Rank and File";"..Administrative and Support Service Activities";"....P5,000-P9,999";751
"Regular Rank and File";"..Administrative and Support Service Activities";"....P10,000-P14,999";1294
"Regular Rank and File";"..Administrative and Support Service Activities";"....P15,000-P19,999";107
"Regular Rank and File";"..Administrative and Support Service Activities";"....P20,000 and Over";628
"Regular Rank and File";"..Administrative and Support Service Activities";"..Number of Workers Who Received Non-Cash Incentives";7453
"Regular Rank and File";"..Education Except Public Education";"Total Number of Workers Who Received Cash and Non-Cash Incentives";3741
"Regular Rank and File";"..Education Except Public Education";"..Number of Workers Who Received Cash Incentives";2757
"Regular Rank and File";"..Education Except Public Education";"....Below P5,000";1567
"Regular Rank and File";"..Education Except Public Education";"....P5,000-P9,999";994
"Regular Rank and File";"..Education Except Public Education";"....P10,000-P14,999";195
"Regular Rank and File";"..Education Except Public Education";"....P15,000-P19,999";1
"Regular Rank and File";"..Education Except Public Education";"....P20,000 and Over";0
"Regular Rank and File";"..Education Except Public Education";"..Number of Workers Who Received Non-Cash Incentives";984
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";5893
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Cash Incentives";3227
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....Below P5,000";1563
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P5,000-P9,999";1144
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P10,000-P14,999";511
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P15,000-P19,999";4
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P20,000 and Over";5
"Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Non-Cash Incentives";2666
"Regular Rank and File";"..Arts, Entertainment and Recreation";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1189
"Regular Rank and File";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Cash Incentives";1033
"Regular Rank and File";"..Arts, Entertainment and Recreation";"....Below P5,000";1033
"Regular Rank and File";"..Arts, Entertainment and Recreation";"....P5,000-P9,999";0
"Regular Rank and File";"..Arts, Entertainment and Recreation";"....P10,000-P14,999";0
"Regular Rank and File";"..Arts, Entertainment and Recreation";"....P15,000-P19,999";0
"Regular Rank and File";"..Arts, Entertainment and Recreation";"....P20,000 and Over";0
"Regular Rank and File";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Non-Cash Incentives";156
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";294
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Cash Incentives";50
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Below P5,000";50
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P5,000-P9,999";0
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P10,000-P14,999";0
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P15,000-P19,999";0
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P20,000 and Over";0
"Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Non-Cash Incentives";244
"Non-Regular Rank and File";"ALL INDUSTRIES";"Total Number of Workers Who Received Cash and Non-Cash Incentives";37104
"Non-Regular Rank and File";"ALL INDUSTRIES";"..Number of Workers Who Received Cash Incentives";26870
"Non-Regular Rank and File";"ALL INDUSTRIES";"....Below P5,000";16742
"Non-Regular Rank and File";"ALL INDUSTRIES";"....P5,000-P9,999";4848
"Non-Regular Rank and File";"ALL INDUSTRIES";"....P10,000-P14,999";735
"Non-Regular Rank and File";"ALL INDUSTRIES";"....P15,000-P19,999";596
"Non-Regular Rank and File";"ALL INDUSTRIES";"....P20,000 and Over";3948
"Non-Regular Rank and File";"ALL INDUSTRIES";"..Number of Workers Who Received Non-Cash Incentives";10234
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";2162
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Cash Incentives";1375
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"....Below P5,000";783
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P5,000-P9,999";53
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P15,000-P19,999";242
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P20,000 and Over";298
"Non-Regular Rank and File";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Non-Cash Incentives";787
"Non-Regular Rank and File";"..Mining and Quarrying";"Total Number of Workers Who Received Cash and Non-Cash Incentives";267
"Non-Regular Rank and File";"..Mining and Quarrying";"..Number of Workers Who Received Cash Incentives";267
"Non-Regular Rank and File";"..Mining and Quarrying";"....Below P5,000";0
"Non-Regular Rank and File";"..Mining and Quarrying";"....P5,000-P9,999";267
"Non-Regular Rank and File";"..Mining and Quarrying";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Mining and Quarrying";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Mining and Quarrying";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Mining and Quarrying";"..Number of Workers Who Received Non-Cash Incentives";0
"Non-Regular Rank and File";"..Manufacturing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";22814
"Non-Regular Rank and File";"..Manufacturing";"..Number of Workers Who Received Cash Incentives";18778
"Non-Regular Rank and File";"..Manufacturing";"....Below P5,000";12154
"Non-Regular Rank and File";"..Manufacturing";"....P5,000-P9,999";3406
"Non-Regular Rank and File";"..Manufacturing";"....P10,000-P14,999";54
"Non-Regular Rank and File";"..Manufacturing";"....P15,000-P19,999";52
"Non-Regular Rank and File";"..Manufacturing";"....P20,000 and Over";3111
"Non-Regular Rank and File";"..Manufacturing";"..Number of Workers Who Received Non-Cash Incentives";4036
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Number of Workers Who Received Cash and Non-Cash Incentives";237
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Cash Incentives";237
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....Below P5,000";34
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P5,000-P9,999";134
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P15,000-P19,999";29
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P20,000 and Over";39
"Non-Regular Rank and File";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Non-Cash Incentives";0
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";17
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Cash Incentives";14
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Below P5,000";8
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P5,000-P9,999";0
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P10,000-P14,999";6
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Non-Cash Incentives";3
"Non-Regular Rank and File";"..Construction";"Total Number of Workers Who Received Cash and Non-Cash Incentives";356
"Non-Regular Rank and File";"..Construction";"..Number of Workers Who Received Cash Incentives";284
"Non-Regular Rank and File";"..Construction";"....Below P5,000";272
"Non-Regular Rank and File";"..Construction";"....P5,000-P9,999";12
"Non-Regular Rank and File";"..Construction";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Construction";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Construction";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Construction";"..Number of Workers Who Received Non-Cash Incentives";72
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Number of Workers Who Received Cash and Non-Cash Incentives";4354
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Cash Incentives";2193
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Below P5,000";1706
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P5,000-P9,999";303
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P10,000-P14,999";177
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P15,000-P19,999";7
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Non-Cash Incentives";2161
"Non-Regular Rank and File";"..Transportation and Storage";"Total Number of Workers Who Received Cash and Non-Cash Incentives";411
"Non-Regular Rank and File";"..Transportation and Storage";"..Number of Workers Who Received Cash Incentives";257
"Non-Regular Rank and File";"..Transportation and Storage";"....Below P5,000";74
"Non-Regular Rank and File";"..Transportation and Storage";"....P5,000-P9,999";42
"Non-Regular Rank and File";"..Transportation and Storage";"....P10,000-P14,999";31
"Non-Regular Rank and File";"..Transportation and Storage";"....P15,000-P19,999";21
"Non-Regular Rank and File";"..Transportation and Storage";"....P20,000 and Over";89
"Non-Regular Rank and File";"..Transportation and Storage";"..Number of Workers Who Received Non-Cash Incentives";154
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";2525
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Cash Incentives";997
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"....Below P5,000";852
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"....P5,000-P9,999";95
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"....P10,000-P14,999";27
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"....P20,000 and Over";23
"Non-Regular Rank and File";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Non-Cash Incentives";1528
"Non-Regular Rank and File";"..Information and Communication";"Total Number of Workers Who Received Cash and Non-Cash Incentives";82
"Non-Regular Rank and File";"..Information and Communication";"..Number of Workers Who Received Cash Incentives";22
"Non-Regular Rank and File";"..Information and Communication";"....Below P5,000";4
"Non-Regular Rank and File";"..Information and Communication";"....P5,000-P9,999";18
"Non-Regular Rank and File";"..Information and Communication";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Information and Communication";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Information and Communication";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Information and Communication";"..Number of Workers Who Received Non-Cash Incentives";60
"Non-Regular Rank and File";"..Financial and Insurance Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";307
"Non-Regular Rank and File";"..Financial and Insurance Activities";"..Number of Workers Who Received Cash Incentives";163
"Non-Regular Rank and File";"..Financial and Insurance Activities";"....Below P5,000";38
"Non-Regular Rank and File";"..Financial and Insurance Activities";"....P5,000-P9,999";84
"Non-Regular Rank and File";"..Financial and Insurance Activities";"....P10,000-P14,999";38
"Non-Regular Rank and File";"..Financial and Insurance Activities";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Financial and Insurance Activities";"....P20,000 and Over";2
"Non-Regular Rank and File";"..Financial and Insurance Activities";"..Number of Workers Who Received Non-Cash Incentives";144
"Non-Regular Rank and File";"..Real Estate Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";2
"Non-Regular Rank and File";"..Real Estate Activities";"..Number of Workers Who Received Cash Incentives";0
"Non-Regular Rank and File";"..Real Estate Activities";"....Below P5,000";0
"Non-Regular Rank and File";"..Real Estate Activities";"....P5,000-P9,999";0
"Non-Regular Rank and File";"..Real Estate Activities";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Real Estate Activities";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Real Estate Activities";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Real Estate Activities";"..Number of Workers Who Received Non-Cash Incentives";2
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";159
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Cash Incentives";90
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"....Below P5,000";0
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P5,000-P9,999";6
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P10,000-P14,999";28
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P15,000-P19,999";23
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"....P20,000 and Over";34
"Non-Regular Rank and File";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Non-Cash Incentives";68
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";2142
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"..Number of Workers Who Received Cash Incentives";1721
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"....Below P5,000";520
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"....P5,000-P9,999";403
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"....P10,000-P14,999";225
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"....P15,000-P19,999";223
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"....P20,000 and Over";351
"Non-Regular Rank and File";"..Administrative and Support Service Activities";"..Number of Workers Who Received Non-Cash Incentives";421
"Non-Regular Rank and File";"..Education Except Public Education";"Total Number of Workers Who Received Cash and Non-Cash Incentives";619
"Non-Regular Rank and File";"..Education Except Public Education";"..Number of Workers Who Received Cash Incentives";224
"Non-Regular Rank and File";"..Education Except Public Education";"....Below P5,000";179
"Non-Regular Rank and File";"..Education Except Public Education";"....P5,000-P9,999";0
"Non-Regular Rank and File";"..Education Except Public Education";"....P10,000-P14,999";45
"Non-Regular Rank and File";"..Education Except Public Education";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Education Except Public Education";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Education Except Public Education";"..Number of Workers Who Received Non-Cash Incentives";396
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";600
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Cash Incentives";246
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....Below P5,000";117
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P5,000-P9,999";26
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P10,000-P14,999";103
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Non-Cash Incentives";354
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"Total Number of Workers Who Received Cash and Non-Cash Incentives";14
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Cash Incentives";0
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"....Below P5,000";0
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"....P5,000-P9,999";0
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Non-Cash Incentives";14
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";35
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Cash Incentives";0
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Below P5,000";0
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P5,000-P9,999";0
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P10,000-P14,999";0
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P15,000-P19,999";0
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P20,000 and Over";0
"Non-Regular Rank and File";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Non-Cash Incentives";35
