"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P20,000 and Over";0
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Non-Cash Incentives";76
"Supervisors";"ALL INDUSTRIES";"Total Number of Workers Who Received Cash and Non-Cash Incentives";21570
"Supervisors";"ALL INDUSTRIES";"..Number of Workers Who Received Cash Incentives";15734
"Supervisors";"ALL INDUSTRIES";"....Below P5,000";6097
"Supervisors";"ALL INDUSTRIES";"....P5,000-P9,999";2723
"Supervisors";"ALL INDUSTRIES";"....P10,000-P14,999";1520
"Supervisors";"ALL INDUSTRIES";"....P15,000-P19,999";1222
"Supervisors";"ALL INDUSTRIES";"....P20,000 and Over";4183
"Supervisors";"ALL INDUSTRIES";"..Number of Workers Who Received Non-Cash Incentives";5836
"Supervisors";"..Agriculture, Forestry and Fishing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";129
"Supervisors";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Cash Incentives";106
"Supervisors";"..Agriculture, Forestry and Fishing";"....Below P5,000";44
"Supervisors";"..Agriculture, Forestry and Fishing";"....P5,000-P9,999";15
"Supervisors";"..Agriculture, Forestry and Fishing";"....P10,000-P14,999";19
"Supervisors";"..Agriculture, Forestry and Fishing";"....P15,000-P19,999";5
"Supervisors";"..Agriculture, Forestry and Fishing";"....P20,000 and Over";23
"Supervisors";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Non-Cash Incentives";23
"Supervisors";"..Mining and Quarrying";"Total Number of Workers Who Received Cash and Non-Cash Incentives";525
"Supervisors";"..Mining and Quarrying";"..Number of Workers Who Received Cash Incentives";525
"Supervisors";"..Mining and Quarrying";"....Below P5,000";0
"Supervisors";"..Mining and Quarrying";"....P5,000-P9,999";400
"Supervisors";"..Mining and Quarrying";"....P10,000-P14,999";0
"Supervisors";"..Mining and Quarrying";"....P15,000-P19,999";0
"Supervisors";"..Mining and Quarrying";"....P20,000 and Over";125
"Supervisors";"..Mining and Quarrying";"..Number of Workers Who Received Non-Cash Incentives";0
"Supervisors";"..Manufacturing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";9728
"Supervisors";"..Manufacturing";"..Number of Workers Who Received Cash Incentives";6779
"Supervisors";"..Manufacturing";"....Below P5,000";3581
"Supervisors";"..Manufacturing";"....P5,000-P9,999";612
"Supervisors";"..Manufacturing";"....P10,000-P14,999";658
"Supervisors";"..Manufacturing";"....P15,000-P19,999";455
"Supervisors";"..Manufacturing";"....P20,000 and Over";1472
