"Number of Establishments Employing 20 or More Workers by Type of Non-Cash Productivity-Based Incentives Provided and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/6251B3GP100.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Non-Cash Productivity-Based Incentives";"2015"
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Scholarship";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";0
"..Construction";"Establishments with Non-Cash Productivity-Based Incentives";15
"..Construction";"Plaque/trophy/certificate of recognition";10
"..Construction";"Food";5
"..Construction";"Non-Food";1
"..Construction";"Free/subsidized travel/leisure";2
"..Construction";"Scholarship";1
"..Construction";"Others";0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Establishments with Non-Cash Productivity-Based Incentives";187
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Plaque/trophy/certificate of recognition";98
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Food";87
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Non-Food";48
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Free/subsidized travel/leisure";28
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Scholarship";1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";7
"..Transportation and Storage";"Establishments with Non-Cash Productivity-Based Incentives";10
"..Transportation and Storage";"Plaque/trophy/certificate of recognition";5
"..Transportation and Storage";"Food";5
"..Transportation and Storage";"Non-Food";1
"..Transportation and Storage";"Free/subsidized travel/leisure";1
"..Transportation and Storage";"Scholarship";6
"..Transportation and Storage";"Others";0
"..Accommodation and Food Service Activities";"Establishments with Non-Cash Productivity-Based Incentives";212
"..Accommodation and Food Service Activities";"Plaque/trophy/certificate of recognition";168
"..Accommodation and Food Service Activities";"Food";77
"..Accommodation and Food Service Activities";"Non-Food";21
"..Accommodation and Food Service Activities";"Free/subsidized travel/leisure";117
"..Accommodation and Food Service Activities";"Scholarship";13
"..Accommodation and Food Service Activities";"Others";0
"..Information and Communication";"Establishments with Non-Cash Productivity-Based Incentives";13
"..Information and Communication";"Plaque/trophy/certificate of recognition";7
"..Information and Communication";"Food";2
"..Information and Communication";"Non-Food";3
"..Information and Communication";"Free/subsidized travel/leisure";1
"..Information and Communication";"Scholarship";0
"..Information and Communication";"Others";7
"..Financial and Insurance Activities";"Establishments with Non-Cash Productivity-Based Incentives";60
"..Financial and Insurance Activities";"Plaque/trophy/certificate of recognition";28
"..Financial and Insurance Activities";"Food";22
"..Financial and Insurance Activities";"Non-Food";11
"..Financial and Insurance Activities";"Free/subsidized travel/leisure";24
"..Financial and Insurance Activities";"Scholarship";14
"..Financial and Insurance Activities";"Others";0
"..Real Estate Activities";"Establishments with Non-Cash Productivity-Based Incentives";9
"..Real Estate Activities";"Plaque/trophy/certificate of recognition";2
"..Real Estate Activities";"Food";8
"..Real Estate Activities";"Non-Food";1
"..Real Estate Activities";"Free/subsidized travel/leisure";0
"..Real Estate Activities";"Scholarship";1
"..Real Estate Activities";"Others";0
"..Professional, Scientific and Technical Activities";"Establishments with Non-Cash Productivity-Based Incentives";23
"..Professional, Scientific and Technical Activities";"Plaque/trophy/certificate of recognition";16
"..Professional, Scientific and Technical Activities";"Food";0
"..Professional, Scientific and Technical Activities";"Non-Food";6
"..Professional, Scientific and Technical Activities";"Free/subsidized travel/leisure";0
"..Professional, Scientific and Technical Activities";"Scholarship";0
"..Professional, Scientific and Technical Activities";"Others";1
"..Administrative and Support Service Activities";"Establishments with Non-Cash Productivity-Based Incentives";59
"..Administrative and Support Service Activities";"Plaque/trophy/certificate of recognition";48
"..Administrative and Support Service Activities";"Food";22
