"Total Population, Household Population, and Number of Households by Region and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0011A6DPHH0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"Geographic Location;""Parameter"";Total Population", Household Population, and Number of Households: Philippines,2020
"....Sorsogon;""Total Population"";828655",,,
"....Sorsogon;""Household Population"";826150",,,
"....Sorsogon;""Number of Households"";187462",,,
"..REGION VI (WESTERN VISAYAS);""Total Population"";7954723",,,
"..REGION VI (WESTERN VISAYAS);""Household Population"";7935531",,,
"..REGION VI (WESTERN VISAYAS);""Number of Households"";1939989",,,
"....Aklan;""Total Population"";615475",,,
"....Aklan;""Household Population"";612985",,,
"....Aklan;""Number of Households"";151381",,,
"....Antique;""Total Population"";612974",,,
"....Antique;""Household Population"";611478",,,
"....Antique;""Number of Households"";147696",,,
"....Capiz;""Total Population"";804952",,,
"....Capiz;""Household Population"";803879",,,
"....Capiz;""Number of Households"";202033",,,
"....Guimaras;""Total Population"";187842",,,
"....Guimaras;""Household Population"";187576",,,
"....Guimaras;""Number of Households"";47476",,,
"....Iloilo *;""Total Population"";2051899",,,
"....Iloilo *;""Household Population"";2048039",,,
"....Iloilo *;""Number of Households"";506187",,,
"....Negros Occidental *;""Total Population"";2623172",,,
"....Negros Occidental *;""Household Population"";2618672",,,
"....Negros Occidental *;""Number of Households"";637967",,,
"....City of Bacolod;""Total Population"";600783",,,
"....City of Bacolod;""Household Population"";597615",,,
"....City of Bacolod;""Number of Households"";142936",,,
"....City of Iloilo;""Total Population"";457626",,,
"....City of Iloilo;""Household Population"";455287",,,
"....City of Iloilo;""Number of Households"";104313",,,
"..REGION VII (CENTRAL VISAYAS);""Total Population"";8081988",,,
"..REGION VII (CENTRAL VISAYAS);""Household Population"";8046285",,,
"..REGION VII (CENTRAL VISAYAS);""Number of Households"";1966588",,,
"....Bohol;""Total Population"";1394329",,,
"....Bohol;""Household Population"";1390524",,,
"....Bohol;""Number of Households"";322022",,,
"....Cebu *;""Total Population"";3325385",,,
"....Cebu *;""Household Population"";3309850",,,
"....Cebu *;""Number of Households"";799486",,,
"....Negros Oriental;""Total Population"";1432990",,,
"....Negros Oriental;""Household Population"";1428548",,,
"....Negros Oriental;""Number of Households"";347961",,,
"....Siquijor;""Total Population"";103395",,,
"....Siquijor;""Household Population"";103014",,,
"....Siquijor;""Number of Households"";25805",,,
"....City of Cebu;""Total Population"";964169",,,
"....City of Cebu;""Household Population"";958626",,,
"....City of Cebu;""Number of Households"";238317",,,
"....City of Lapu-Lapu (Opon);""Total Population"";497604",,,
"....City of Lapu-Lapu (Opon);""Household Population"";494672",,,
"....City of Lapu-Lapu (Opon);""Number of Households"";129652",,,
"....City of Mandaue;""Total Population"";364116",,,
"....City of Mandaue;""Household Population"";361051",,,
"....City of Mandaue;""Number of Households"";103345",,,
"..REGION VIII (EASTERN VISAYAS);""Total Population"";4547150",,,
"..REGION VIII (EASTERN VISAYAS);""Household Population"";4531512",,,
"..REGION VIII (EASTERN VISAYAS);""Number of Households"";1082106",,,
"....Biliran;""Total Population"";179312",,,
"....Biliran;""Household Population"";178715",,,
"....Biliran;""Number of Households"";43053",,,
"....Eastern Samar;""Total Population"";477168",,,
"....Eastern Samar;""Household Population"";475847",,,
"....Eastern Samar;""Number of Households"";115777",,,
"....Leyte *;""Total Population"";1776847",,,
"....Leyte *;""Household Population"";1771011",,,
"....Leyte *;""Number of Households"";443470",,,
"....Northern Samar;""Total Population"";639186",,,
"....Northern Samar;""Household Population"";636995",,,
"....Northern Samar;""Number of Households"";139885",,,
"....Samar (Western Samar);""Total Population"";793183",,,
"....Samar (Western Samar);""Household Population"";791045",,,
"....Samar (Western Samar);""Number of Households"";181794",,,
"....Southern Leyte;""Total Population"";429573",,,
"....Southern Leyte;""Household Population"";428484",,,
"....Southern Leyte;""Number of Households"";100876",,,
"....City of Tacloban;""Total Population"";251881",,,
"....City of Tacloban;""Household Population"";249415",,,
"....City of Tacloban;""Number of Households"";57251",,,
"..REGION IX (ZAMBOANGA PENINSULA);""Total Population"";3875576",,,
"..REGION IX (ZAMBOANGA PENINSULA);""Household Population"";3862588",,,
"..REGION IX (ZAMBOANGA PENINSULA);""Number of Households"";895899",,,
"....Zamboanga del Norte;""Total Population"";1047455",,,
"....Zamboanga del Norte;""Household Population"";1046017",,,
"....Zamboanga del Norte;""Number of Households"";247971",,,
"....Zamboanga del Sur *;""Total Population"";1050668",,,
"....Zamboanga del Sur *;""Household Population"";1048402",,,
"....Zamboanga del Sur *;""Number of Households"";239258",,,
"....Zamboanga Sibugay;""Total Population"";669840",,,
"....Zamboanga Sibugay;""Household Population"";668648",,,
"....Zamboanga Sibugay;""Number of Households"";154669",,,
"....City of Isabela **;""Total Population"";130379",,,
"....City of Isabela **;""Household Population"";130130",,,
"....City of Isabela **;""Number of Households"";26649",,,
"....City of Zamboanga;""Total Population"";977234",,,
"....City of Zamboanga;""Household Population"";969391",,,
"....City of Zamboanga;""Number of Households"";227352",,,
"..REGION X (NORTHERN MINDANAO);""Total Population"";5022768",,,
"..REGION X (NORTHERN MINDANAO);""Household Population"";5007798",,,
"..REGION X (NORTHERN MINDANAO);""Number of Households"";1197736",,,
"....Bukidnon;""Total Population"";1541308",,,
"....Bukidnon;""Household Population"";1537629",,,
"....Bukidnon;""Number of Households"";357112",,,
"....Camiguin;""Total Population"";92808",,,
"....Camiguin;""Household Population"";92696",,,
"....Camiguin;""Number of Households"";22281",,,
"....Lanao del Norte *;""Total Population"";722902",,,
"....Lanao del Norte *;""Household Population"";721716",,,
"....Lanao del Norte *;""Number of Households"";161458",,,
"....Misamis Occidental;""Total Population"";617333",,,
"....Misamis Occidental;""Household Population"";614951",,,
"....Misamis Occidental;""Number of Households"";149188",,,
"....Misamis Oriental *;""Total Population"";956900",,,
"....Misamis Oriental *;""Household Population"";954953",,,
"....Misamis Oriental *;""Number of Households"";230233",,,
"....City of Cagayan de Oro;""Total Population"";728402",,,
"....City of Cagayan de Oro;""Household Population"";723671",,,
"....City of Cagayan de Oro;""Number of Households"";190225",,,
"....City of Iligan;""Total Population"";363115",,,
"....City of Iligan;""Household Population"";362182",,,
"....City of Iligan;""Number of Households"";87239",,,
"..REGION XI (DAVAO REGION);""Total Population"";5243536",,,
"..REGION XI (DAVAO REGION);""Household Population"";5223802",,,
"..REGION XI (DAVAO REGION);""Number of Households"";1337781",,,
"....Davao de Oro (Compostela Valley);""Total Population"";767547",,,
"....Davao de Oro (Compostela Valley);""Household Population"";766299",,,
"....Davao de Oro (Compostela Valley);""Number of Households"";188918",,,
"....Davao del Norte;""Total Population"";1125057",,,
"....Davao del Norte;""Household Population"";1115167",,,
"....Davao del Norte;""Number of Households"";271655",,,
"....Davao del Sur *;""Total Population"";680481",,,
"....Davao del Sur *;""Household Population"";679457",,,
"....Davao del Sur *;""Number of Households"";182681",,,
"....Davao Occidental;""Total Population"";317159",,,
"....Davao Occidental;""Household Population"";316907",,,
"....Davao Occidental;""Number of Households"";78185",,,
"....Davao Oriental;""Total Population"";576343",,,
"....Davao Oriental;""Household Population"";574984",,,
"....Davao Oriental;""Number of Households"";140064",,,
"....City of Davao;""Total Population"";1776949",,,
"....City of Davao;""Household Population"";1770988",,,
"....City of Davao;""Number of Households"";476278",,,
"..REGION XII (SOCCSKSARGEN);""Total Population"";4360974",,,
"..REGION XII (SOCCSKSARGEN);""Household Population"";4351773",,,
"..REGION XII (SOCCSKSARGEN);""Number of Households"";1065453",,,
"....Cotabato (North Cotabato);""Total Population"";1275185",,,
"....Cotabato (North Cotabato);""Household Population"";1273594",,,
"....Cotabato (North Cotabato);""Number of Households"";308443",,,
"....Sarangani;""Total Population"";558946",,,
"....Sarangani;""Household Population"";558069",,,
"....Sarangani;""Number of Households"";133865",,,
"....South Cotabato *;""Total Population"";975476",,,
"....South Cotabato *;""Household Population"";973146",,,
"....South Cotabato *;""Number of Households"";244987",,,
"....Sultan Kudarat;""Total Population"";854052",,,
"....Sultan Kudarat;""Household Population"";851554",,,
"....Sultan Kudarat;""Number of Households"";202813",,,
"....City of General Santos (Dadiangas);""Total Population"";697315",,,
"....City of General Santos (Dadiangas);""Household Population"";695410",,,
"....City of General Santos (Dadiangas);""Number of Households"";175345",,,
"..REGION XIII (CARAGA);""Total Population"";2804788",,,
"..REGION XIII (CARAGA);""Household Population"";2795340",,,
"..REGION XIII (CARAGA);""Number of Households"";661773",,,
"....Agusan del Norte *;""Total Population"";387503",,,
"....Agusan del Norte *;""Household Population"";386211",,,
"....Agusan del Norte *;""Number of Households"";91016",,,
"....Agusan del Sur;""Total Population"";739367",,,
"....Agusan del Sur;""Household Population"";737991",,,
"....Agusan del Sur;""Number of Households"";173962",,,
"....Dinagat Islands;""Total Population"";128117",,,
"....Dinagat Islands;""Household Population"";127963",,,
"....Dinagat Islands;""Number of Households"";29391",,,
"....Surigao del Norte;""Total Population"";534636",,,
"....Surigao del Norte;""Household Population"";531753",,,
"....Surigao del Norte;""Number of Households"";127445",,,
"....Surigao del Sur;""Total Population"";642255",,,
"....Surigao del Sur;""Household Population"";640512",,,
"....Surigao del Sur;""Number of Households"";150551",,,
"....City of Butuan;""Total Population"";372910",,,
"....City of Butuan;""Household Population"";370910",,,
"....City of Butuan;""Number of Households"";89408",,,
"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM);""Total Population"";4944800",,,
"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM);""Household Population"";4938539",,,
"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM);""Number of Households"";832908",,,
"....Basilan;""Total Population"";426207",,,
"....Basilan;""Household Population"";425111",,,
"....Basilan;""Number of Households"";73419",,,
"....Lanao del Sur;""Total Population"";1195518",,,
"....Lanao del Sur;""Household Population"";1194507",,,
"....Lanao del Sur;""Number of Households"";183629",,,
"....Maguindanao;""Total Population"";1667258",,,
"....Maguindanao;""Household Population"";1666353",,,
"....Maguindanao;""Number of Households"";287284",,,
"....Sulu;""Total Population"";1000108",,,
"....Sulu;""Household Population"";998675",,,
"....Sulu;""Number of Households"";166140",,,
"....Tawi-Tawi;""Total Population"";440276",,,
"....Tawi-Tawi;""Household Population"";438545",,,
"....Tawi-Tawi;""Number of Households"";74768",,,
"....Eight (8) Area Clusters ***;""Total Population"";215433",,,
"....Eight (8) Area Clusters ***;""Household Population"";215348",,,
"....Eight (8) Area Clusters ***;""Number of Households"";47668",,,
