"Household Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over""",,,,
" ""....City of Navotas"";246743;25337;25699;24348;23052;23356;21398;19098;16814;15509;13164;11390;9428;7356;4921;3064;1512;1297;125744;13151;13542;12521;11831;11951;10976;9919;8554;8020;6796;5682;4738;3620;2276;1212;567;388;120999;12186;12157;11827;11221;11405;10422;9179;8260;7489;6368;5708;4690;3736;2645;1852;945;909",,,,
" ""....City of Valenzuela"";713181;66781;65212;65950;62632;69477;68677;62498;54590;48705;39381;32879;26193;20020;13667;8379;4148;3992;362597;34603;33941;34137;31935;35700;35586;32661;28111;24876;20019;16442;12760;9514;6113;3496;1526;1177;350584;32178;31271;31813;30697;33777;33091;29837;26479;23829;19362;16437;13433;10506;7554;4883;2622;2815",,,,
" ""....City of Las Pi�as"";604283;55381;55195;52600;50701;57676;56189;51603;45993;41384;34524;29228;23615;19264;13592;8856;4395;4087;299446;28614;28704;27220;25800;29034;28149;26019;22654;20237;16971;13912;10907;8644;5942;3706;1657;1276;304837;26767;26491;25380;24901;28642;28040;25584;23339;21147;17553;15316;12708;10620;7650;5150;2738;2811",,,,
" ""....City of Makati"";624032;52754;47909;45441;42820;56055;64903;63121;52033;42553;35406;31891;27895;24197;15959;9960;5035;6100;302987;26905;24759;23557;21681;27092;31737;31818;25615;20687;16841;14697;12607;10696;6767;3975;1764;1789;321045;25849;23150;21884;21139;28963;33166;31303;26418;21866;18565;17194;15288;13501;9192;5985;3271;4311",,,,
" ""....City of Muntinlupa"";519112;48124;46271;43923;43559;47723;48596;45215;40881;35894;30066;25501;20545;17082;11606;7223;3544;3359;256360;24974;23902;22544;22185;23967;24387;22739;20490;17580;14507;12010;9265;7527;4924;2981;1337;1041;262752;23150;22369;21379;21374;23756;24209;22476;20391;18314;15559;13491;11280;9555;6682;4242;2207;2318",,,,
" ""....City of Para�aque"";686313;65188;60674;57204;52275;61893;65062;62914;55303;47334;39761;34354;27554;22192;14735;9551;5043;5276;339314;33402;31399;29634;26579;31082;32920;32187;27478;23211;19198;16013;12488;9897;6353;3929;1859;1685;346999;31786;29275;27570;25696;30811;32142;30727;27825;24123;20563;18341;15066;12295;8382;5622;3184;3591",,,,
" ""....Pasay City"";437003;33038;34698;34399;34196;49416;52250;42628;35045;29187;23236;20200;16047;12520;8704;5706;2857;2876;217169;17045;17840;17605;17049;24733;26241;21715;18010;14699;11463;9772;7576;5570;3789;2268;953;841;219834;15993;16858;16794;17147;24683;26009;20913;17035;14488;11773;10428;8471;6950;4915;3438;1904;2035",,,,
" ""....City of Taguig"";882622;90829;85123;80819;74250;87932;90951;81765;68330;57484;44835;37324;29748;22939;14702;8302;3860;3429;443918;47030;44188;41700;37534;43882;46024;41916;34732;29269;22427;18137;14172;10495;6628;3398;1413;973;438704;43799;40935;39119;36716;44050;44927;39849;33598;28215;22408;19187;15576;12444;8074;4904;2447;2456",,,,
" ""....Pateros"";65064;5845;5934;5869;5414;5949;5900;5607;4826;4307;3657;3302;2667;2143;1540;1008;561;535;32366;3016;3070;3049;2777;2966;2965;2872;2405;2158;1796;1614;1289;944;681;407;195;162;32698;2829;2864;2820;2637;2983;2935;2735;2421;2149;1861;1688;1378;1199;859;601;366;373",,,,
" ""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";1791121;158412;171000;175745;178302;174000;159256;140033;121818;104424;88546;81832;71075;58858;42484;27216;16714;21406;917431;81950;89241;90577;90959;89131;82705;73366;64290;54819;46262;41978;36101;29029;20297;12257;6853;7616;873690;76462;81759;85168;87343;84869;76551;66667;57528;49605;42284;39854;34974;29829;22187;14959;9861;13790",,,,
