"..Manufacturing";"..Compulsory Social Security Expenditures";57.2;57.5
"..Manufacturing";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";9.9;18.0
"..Manufacturing";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";1.9;4.1
"..Manufacturing";"..Cost of Medical Care and Health Services";8.0;5.7
"..Manufacturing";"..Retirement and Termination/ Separation Pay";23.0;14.7
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total Amount";3623683;4482283
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Percent";100.0;100.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Compulsory Social Security Expenditures";27.1;17.6
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";7.9;4.1
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";0.6;0.7
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Medical Care and Health Services";14.0;18.2
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Retirement and Termination/ Separation Pay";50.6;59.3
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Amount";682624;864716
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Percent";100.0;100.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Compulsory Social Security Expenditures";76.7;47.6
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";3.5;2.5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";2.5;0.2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Medical Care and Health Services";6.4;6.7
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Retirement and Termination/ Separation Pay";11.0;42.9
"..Construction";"Total Amount";2008737;5159094
"..Construction";"Percent";100.0;100.0
"..Construction";"..Compulsory Social Security Expenditures";85.9;84.4
"..Construction";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";3.9;2.7
"..Construction";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";2.1;0.8
"..Construction";"..Cost of Medical Care and Health Services";3.8;3.6
"..Construction";"..Retirement and Termination/ Separation Pay";4.3;8.4
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Amount";9626686;14338799
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Percent";100.0;100.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Compulsory Social Security Expenditures";62.4;74.8
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";14.9;5.7
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";2.9;1.6
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Medical Care and Health Services";7.2;10.3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Retirement and Termination/ Separation Pay";12.6;7.5
"..Transportation and Storage";"Total Amount";2142156;3051234
"..Transportation and Storage";"Percent";100.0;100.0
"..Transportation and Storage";"..Compulsory Social Security Expenditures";72.7;79.0
