"Percent Distribution of Annual Labor Cost in Establishments Employing 20 or More Workers by Industry Group and Major Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Labor Cost";"2013";"2019"
"..Arts, Entertainment and Recreation";"..Direct Wages and Salaries";77.9;81.4
"..Arts, Entertainment and Recreation";"..Remuneration for Time Not Worked";1.6;0.1
"..Arts, Entertainment and Recreation";"..Bonuses and Gratuities";9.4;10.7
"..Arts, Entertainment and Recreation";"..Payments in Kind";0.6;a
"..Arts, Entertainment and Recreation";"..Housing";0.8;a
"..Arts, Entertainment and Recreation";"..Social Security Expenditures";8.0;7.2
"..Arts, Entertainment and Recreation";"..Cost of Training";0.2;0.2
"..Arts, Entertainment and Recreation";"..Cost of Welfare Services";1.2;a
"..Arts, Entertainment and Recreation";"..Other Labor Costs";0.5;0.3
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Amount";4456800;5424197
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Percent";100;100
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Direct Wages and Salaries";82.4;85.7
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Remuneration for Time Not Worked";0.1;0.1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Bonuses and Gratuities";8.0;8.6
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Payments in Kind";a;0.1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Housing";0.5;0.2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Social Security Expenditures";7.9;4.9
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Training";0.2;0.2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Welfare Services";0.1;0.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Other Labor Costs";0.9;0.2
