"Female Share in Occupational Employment (Based on 1992 PSOC)"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Total Employed  (000)";"TOTAL";..;..;..;..;..;..;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;..;..;..
"Total Employed  (000)";"..Officials of Government  and Special Interest- Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;2921;3217;3398;3775;3784;3811;3958;4327;4722;4979;5217;5608;6173;6166;6292;..;..;..
"Total Employed  (000)";"..Professionals";..;..;..;..;..;..;1323;1385;1349;1353;1395;1404;1454;1526;1608;1686;1732;1807;1874;1925;1989;..;..;..
"Total Employed  (000)";"..Technicians and Associate  Professionals";..;..;..;..;..;..;748;819;882;883;858;880;908;876;932;954;985;1030;996;990;1030;..;..;..
"Total Employed  (000)";"..Clerks";..;..;..;..;..;..;1317;1332;1356;1352;1454;1505;1652;1715;1860;2003;2109;2116;2248;2403;2492;..;..;..
"Total Employed  (000)";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;2582;2658;2715;2888;3005;3121;3248;3394;3672;3838;4141;4554;4694;4856;4925;..;..;..
"Total Employed  (000)";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;6353;6240;6220;5921;6161;6127;6069;5999;5851;5747;5715;5297;4994;5218;5000;..;..;..
"Total Employed  (000)";"..Trades and Related Workers";..;..;..;..;..;..;3075;2993;2932;2866;2887;2803;2811;2730;2662;2792;2769;2511;2600;2626;2592;..;..;..
"Total Employed  (000)";"..Plant and Machine Operators  and Assemblers";..;..;..;..;..;..;2283;2197;2348;2429;2446;2495;2573;2354;2218;2259;2245;2014;2027;2001;2083;..;..;..
"Total Employed  (000)";"..Laborers and Unskilled Workers";..;..;..;..;..;..;8420;9097;9303;10005;10176;10343;10749;11021;11385;11622;12118;12547;12403;12348;12223;..;..;..
"Total Employed  (000)";"..Special Occupations";..;..;..;..;..;..;135;124;133;143;146;147;138;147;150;156;161;116;108;119;114;..;..;..
"Men";"TOTAL";..;..;..;..;..;..;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;..;..;..
"Men";"..Officials of Government  and Special Interest- Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;1198;1358;1444;1613;1613;1605;1677;1955;2202;2354;2497;2941;3264;3248;3362;..;..;..
"Men";"..Professionals";..;..;..;..;..;..;422;442;428;428;443;439;447;479;508;531;549;578;609;648;659;..;..;..
"Men";"..Technicians and Associate  Professionals";..;..;..;..;..;..;381;407;434;442;413;432;443;431;448;458;480;534;500;478;505;..;..;..
"Men";"..Clerks";..;..;..;..;..;..;433;447;459;475;508;539;609;621;706;753;801;798;855;912;940;..;..;..
"Men";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;1205;1262;1324;1453;1499;1524;1583;1678;1808;1891;2039;2240;2307;2393;2402;..;..;..
"Men";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;5274;5207;5225;5099;5293;5195;5139;5143;5017;4904;4875;4478;4215;4352;4134;..;..;..
"Men";"..Trades and Related Workers";..;..;..;..;..;..;2205;2166;2145;2128;2148;2099;2121;2133;2098;2213;2193;2057;2154;2204;2193;..;..;..
"Men";"..Plant and Machine Operators  and Assemblers";..;..;..;..;..;..;2097;2027;2162;2219;2228;2265;2332;2129;2030;2040;1998;1768;1755;1732;1789;..;..;..
"Men";"..Laborers and Unskilled Workers";..;..;..;..;..;..;4594;4878;5134;5664;5637;5786;6072;6262;6459;6652;7013;7354;7398;7298;7325;..;..;..
"Men";"..Special Occupations";..;..;..;..;..;..;115;110;120;126;128;130;120;128;128;125;129;100;93;101;96;..;..;..
"Women";"TOTAL";..;..;..;..;..;..;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;..;..;..
"Women";"..Officials of Government  and Special Interest- Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;1722;1859;1954;2162;2171;2206;2281;2372;2520;2625;2720;2667;2909;2918;2929;..;..;..
"Women";"..Professionals";..;..;..;..;..;..;901;944;921;925;953;966;1007;1047;1100;1155;1183;1229;1265;1277;1330;..;..;..
"Women";"..Technicians and Associate  Professionals";..;..;..;..;..;..;367;412;449;442;445;448;465;444;484;495;505;495;496;512;526;..;..;..
"Women";"..Clerks";..;..;..;..;..;..;884;885;898;878;946;965;1043;1095;1154;1250;1308;1318;1393;1492;1551;..;..;..
"Women";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;1377;1396;1391;1435;1507;1597;1665;1716;1864;1947;2102;2313;2387;2463;2523;..;..;..
"Women";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;1079;1033;995;822;868;932;930;856;834;843;840;819;779;866;866;..;..;..
"Women";"..Trades and Related Workers";..;..;..;..;..;..;870;826;787;738;740;704;690;597;564;579;576;454;446;422;399;..;..;..
"Women";"..Plant and Machine Operators  and Assemblers";..;..;..;..;..;..;186;170;186;210;219;230;241;225;189;219;247;246;272;268;294;..;..;..
"Women";"..Laborers and Unskilled Workers";..;..;..;..;..;..;3826;4219;4169;4341;4539;4557;4677;4759;4926;4970;5104;5193;5005;5050;4898;..;..;..
"Women";"..Special Occupations";..;..;..;..;..;..;20;14;13;18;18;18;19;19;22;30;33;17;15;17;18;..;..;..
