"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2019 and 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2501B3GO021.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Water Supply; Sewerage, Waste Management and Remediation Activities";216;113
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Construction";729;384
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5121;3001
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Transportation and Storage";676;357
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Accommodation and Food Service Activities";3246;1176
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Information and Communication";644;285
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Financial and Insurance Activities";1081;556
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Real Estate Activities";326;228
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Professional, Scientific and Technical Activities";650;218
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Administrative and Support Service Activities";1915;969
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Education Except Public Education";2664;1273
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Human Health and Social Work Activities Except Public Health Activities";1077;701
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Arts, Entertainment and  Recreation";167;53
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Other Service Activities Except Activities of Membership Organization";152;60
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"Establishments with Implemented OSH Policies/Programs";876;781
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Agriculture, Forestry and Fishing";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Mining and Quarrying";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Manufacturing";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Electricity, Gas, Steam and Air Conditioning Supply";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Construction";876;781
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Transportation and Storage";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Accommodation and Food Service Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Information and Communication";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Financial and Insurance Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Real Estate Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Professional, Scientific and Technical Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Administrative and Support Service Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Education Except Public Education";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Human Health and Social Work Activities Except Public Health Activities";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Arts, Entertainment and  Recreation";0;0
"DOLE-Approved Construction Safety and Health Program (for contractors in the construction industry)";"..Other Service Activities Except Activities of Membership Organization";0;0
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"Establishments with Implemented OSH Policies/Programs";23241;16637
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Agriculture, Forestry and Fishing";424;361
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Mining and Quarrying";90;90
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Manufacturing";4350;3174
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Electricity, Gas, Steam and Air Conditioning Supply";207;200
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Water Supply; Sewerage, Waste Management and Remediation Activities";139;99
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Construction";536;505
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5697;4693
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Transportation and Storage";638;494
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Accommodation and Food Service Activities";3144;1880
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Information and Communication";669;420
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Financial and Insurance Activities";957;803
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Real Estate Activities";481;296
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Professional, Scientific and Technical Activities";615;327
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Administrative and Support Service Activities";2017;1384
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Education Except Public Education";1697;918
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Human Health and Social Work Activities Except Public Health Activities";1258;831
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Arts, Entertainment and  Recreation";103;70
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: Tuberculosis";"..Other Service Activities Except Activities of Membership Organization";217;91
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"Establishments with Implemented OSH Policies/Programs";22518;15368
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Agriculture, Forestry and Fishing";385;287
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Mining and Quarrying";83;79
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Manufacturing";4208;2880
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Electricity, Gas, Steam and Air Conditioning Supply";206;193
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Water Supply; Sewerage, Waste Management and Remediation Activities";135;88
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Construction";531;434
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5504;4391
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Transportation and Storage";565;454
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Accommodation and Food Service Activities";3105;1815
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Information and Communication";667;410
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Financial and Insurance Activities";958;745
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Real Estate Activities";430;265
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Professional, Scientific and Technical Activities";590;317
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Administrative and Support Service Activities";2030;1283
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Education Except Public Education";1587;805
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Human Health and Social Work Activities Except Public Health Activities";1218;782
"Policy on non-discrimination of workers confirmed/suspected/perceived to have: HIV Infection";"..Arts, Entertainment and  Recreation";100;69
